Site,Range,Segment
003l,long,1_UMC
008l,long,1_UMC
009l,HFE,1_UMC
016l,long,1_UMC
022r,long,1_UMC
024l,short,1_UMC
029l,short,1_UMC
030r,long,1_UMC
032r,long,2_LMC
033l,short,2_LMC
035l,short,2_LMC
035l_r,short,2_LMC
035l_s,short,2_LMC
041r,short,2_LMC
041r_r,short,2_LMC
041r_s,short,2_LMC
043l,long,2_LMC
044l,long,2_LMC
044l_r,long,2_LMC
044l_s,long,2_LMC
045l,short,2_LMC
045l_r,short,2_LMC
045l_s,short,2_LMC
047r,long,2_LMC
050r,long,2_LMC
050r_r,long,2_LMC
050r_s,long,2_LMC
051l,long,2_LMC
055r,short,2_LMC
056r,short,2_LMC
062r,1993-current,3_EGC
063l,1996-2008,3_EGC
063l_r,1996-2008,3_EGC
063l_s,1996-2008,3_EGC
065r,short,3_EGC
065r_r,short,3_EGC
065r_s,short,3_EGC
068r,long,3_EGC
070r,HFE,3_EGC
081l,long,3_EGC
084r,short,3_EGC
087l,long,3_EGC
091r,long,4_CGC
093l,long,4_CGC
104r,long,4_CGC
119r,long,4_CGC
122r,long,4_CGC
123l,long,4_CGC
137l,long,4_CGC
139r,long,4_CGC
145l,long,4_CGC
167l,short,5_WGC
172l,long,5_WGC
183r,long,5_WGC
194l,long,5_WGC
202r,long,5_WGC
202r_r,long,5_WGC
202r_s,long,5_WGC
213l,long,5_WGC
220r,long,5_WGC
225r,long,5_WGC
m006r,na,0_Glen
