Site,SurveyDate,Plane_Height,Area_2D,Area_3D,Volume,Errors,SitePart,Processed_File,TripDate,SiteRange,Segment,MaxVol,Max_Area,Time_Series
003l,1990-09-28,eddy8kto25k,2228.733512,2248.472509,2202.57185,89.14934049,Eddy,Eddy_Fluctuating_Zone.csv,1990-06-10,long,1_UMC,4582.22257728,7603.0,long
003l,1991-07-26,eddy8kto25k,2387.774515,2415.600812,2543.566201,95.51098058,Eddy,Eddy_Fluctuating_Zone.csv,1991-07-26,long,1_UMC,4582.22257728,7603.0,long
003l,1991-11-23,eddy8kto25k,1668.194306,1685.256079,1702.228651,66.72777224,Eddy,Eddy_Fluctuating_Zone.csv,1991-11-01,long,1_UMC,4582.22257728,7603.0,na
003l,1992-10-15,eddy8kto25k,2962.687979,2982.504833,2753.16351,118.5075192,Eddy,Eddy_Fluctuating_Zone.csv,1992-10-15,long,1_UMC,4582.22257728,7603.0,na
003l,1993-04-01,eddy8kto25k,2805.682284,2830.405601,2550.538237,112.2272914,Eddy,Eddy_Fluctuating_Zone.csv,1993-04-01,long,1_UMC,4582.22257728,7603.0,na
003l,1993-11-17,eddy8kto25k,1973.1945,1996.221053,2241.329021,78.92777999,Eddy,Eddy_Fluctuating_Zone.csv,1993-10-08,long,1_UMC,4582.22257728,7603.0,long
003l,1994-04-07,eddy8kto25k,2475.730131,2496.975645,2326.162915,99.02920522,Eddy,Eddy_Fluctuating_Zone.csv,1994-04-07,long,1_UMC,4582.22257728,7603.0,na
003l,1994-10-21,eddy8kto25k,2209.966541,2230.599771,2138.580458,88.39866164,Eddy,Eddy_Fluctuating_Zone.csv,1994-11-20,long,1_UMC,4582.22257728,7603.0,long
003l,1995-04-24,eddy8kto25k,2565.081388,2586.533283,2359.208074,102.6032555,Eddy,Eddy_Fluctuating_Zone.csv,1995-04-24,long,1_UMC,4582.22257728,7603.0,long
003l,1995-06-23,eddy8kto25k,2502.56948,2528.212662,2401.957119,100.1027792,Eddy,Eddy_Fluctuating_Zone.csv,1995-06-22,long,1_UMC,4582.22257728,7603.0,na
003l,1996-02-13,eddy8kto25k,825.3511944,850.8273101,1223.478387,33.01404778,Eddy,Eddy_Fluctuating_Zone.csv,1996-02-13,long,1_UMC,4582.22257728,7603.0,long
