Site,Eddy_Area,Eddy_Volume,Total_Volume
M06R,5000,3500,25000
003L,4000,3000,75000
016L,2500,1500,25000
022R,3000,5500,25000
030R,4000,8000,25000
032R,5000,3000,40000
035L,3500,3500,60000
041R,20000,20000,50000
043L,4000,4000,60000
044L,10000,12000,60000
045L,7000,9000,30000
047R,8000,12000,120000
050R,5000,4000,15000
051L,12250,10000,80000
055R,15000,10000,70000
062R,6000,15000,100000
063R,6000,10000,100000
065R,10000,9000,50000
068R,7000,8000,50000
081L,3000,2000,6000
087L,1000,600,15000
091R,1500,1500,15000
093L,4000,5000,22000
104R,600,600,5000
119R,5000,8000,25000
122R,6000,6000,20000
123L,3000,4000,25000
137L,5000,5000,8000
139R,2500,3000,15000
145L,1000,1500,5000
172L,6000,12000,25000
183R,2500,4000,15000
194L,12500,10000,40000
202R,3000,5000,15000
213L,3000,5000,25000
220R,2500,1500,6000
225R,4000,5000,40000
