Site,Date,Plane_Height,Area_2D,Area_3D,Volume
008l,19970420,8kto25k,1161.4229929,1168.96770066,395.107767702
008l,19970420,above913.47,2032.57025145,2044.09640247,727.619764712
008l,19970420,above913.57,1952.86023549,1963.94426112,693.26356411
008l,19970420,above913.67,1854.31099808,1864.97183566,660.940372329
008l,19970420,above913.77,1776.86318367,1787.10412677,631.056688665
008l,19970420,above913.87,1719.47971618,1729.304694,602.651472973
008l,19970420,above913.97,1665.2059282,1674.61611766,575.630542047
008l,19970420,above914.07,1604.80918081,1613.83161825,550.091233455
008l,19970420,above914.17,1523.9397441,1532.62797823,527.243874731
008l,19970420,above914.27,1422.82547112,1431.16064397,508.430196605
008l,19970420,above914.37,1345.68209364,1353.5966455,494.024957572
008l,19970420,above914.47,1285.68798983,1293.10409627,479.573981342
008l,19970420,above914.57,1224.44124195,1231.35541952,462.32988661
008l,19970420,above914.67,1163.70655704,1170.10695638,443.300570812
008l,19970420,above914.77,1110.61833242,1116.43524954,423.426107054
008l,19970420,above914.87,1058.00098133,1063.21544718,401.350884889
008l,19970420,above914.97,993.653446029,998.344591411,376.592329197
008l,19970420,above915.07,921.762885601,925.994106288,350.130706659
008l,19970420,above915.17,841.280198876,845.108915247,320.219839567
008l,19970420,above915.27,756.081487396,759.547507763,287.634420102
008l,19970420,above915.37,678.981095066,682.145114723,255.94900072
008l,19970420,above915.47,600.248059255,603.194966327,226.366146392
008l,19970420,above915.57,530.566575987,533.333256859,199.466168722
008l,19970420,above915.67,470.04200067,472.616631967,174.427073672
008l,19970420,above915.77,411.317305332,413.691993919,150.951958078
008l,19970420,above915.87,360.379632058,362.550137122,129.657659275
008l,19970420,above915.97,314.09443133,316.056347387,110.375890371
008l,19970420,above916.07,270.880738246,272.625564043,93.0480332851
008l,19970420,above916.17,233.342596515,234.858142324,76.9927459433
008l,19970420,above916.27,198.832062067,200.127409017,61.9103151375
008l,19970420,above916.37,165.778481859,166.861396637,48.1987830228
008l,19970420,above916.47,135.215750094,136.090667413,36.143535501
008l,19970420,above916.57,108.405634531,109.079713192,25.6102992306
008l,19970420,above916.67,83.8622078246,84.366092173,16.6163485326
008l,19970420,above916.77,60.8417660072,61.2011725839,9.48639107286
