Site,Date,Plane_Height,Area_2D,Area_3D,Volume
070r,20091016,8kto25k,1096.74976942,1111.75999468,206.467414021
070r,20091016,above780.8,1986.79368955,2030.7310462,781.307987263
070r,20091016,above780.9,1833.79024928,1877.26645653,763.904489893
070r,20091016,above781.0,1623.02978849,1665.94312365,747.008183115
070r,20091016,above781.1,1415.65939459,1457.90714027,738.522858137
070r,20091016,above781.2,1335.99224214,1377.27100216,734.352508221
070r,20091016,above781.3,1296.7968423,1336.96877174,728.776980475
070r,20091016,above781.4,1259.41227253,1298.45552576,720.890393927
070r,20091016,above781.5,1222.01049708,1259.92596547,711.894270614
070r,20091016,above781.6,1189.00715747,1225.74909537,701.618074868
070r,20091016,above781.7,1158.53311918,1194.08083468,688.983966301
070r,20091016,above781.8,1125.94885051,1160.34940716,673.304770983
070r,20091016,above781.9,1091.13558079,1124.44222415,656.350028641
070r,20091016,above782.0,1052.96449165,1085.23053959,638.876129782
070r,20091016,above782.1,1009.9959426,1041.27779019,621.188568944
070r,20091016,above782.2,965.636721404,995.978331975,603.260793602
070r,20091016,above782.3,918.188212011,947.635757437,585.370861659
070r,20091016,above782.4,872.324566578,900.901922195,567.872600208
070r,20091016,above782.5,829.513022818,857.21363959,550.271686957
070r,20091016,above782.6,788.478170074,815.298613128,531.847846491
070r,20091016,above782.7,748.591580163,774.525175028,511.952770182
070r,20091016,above782.8,708.883721886,733.927733727,489.519150644
070r,20091016,above782.9,672.589739947,696.72071993,464.299100045
070r,20091016,above783.0,639.845454266,663.042325148,435.251889083
070r,20091016,above783.1,608.733848576,630.967668675,402.914674373
070r,20091016,above783.2,578.373744125,599.633588213,368.745403798
070r,20091016,above783.3,548.108693488,568.395830727,333.160750091
070r,20091016,above783.4,518.607571643,537.907903183,296.592948579
070r,20091016,above783.5,489.803933854,508.138153811,259.697095042
070r,20091016,above783.6,461.176647528,478.528171616,222.658619622
070r,20091016,above783.7,425.394497479,441.490442089,186.330575137
070r,20091016,above783.8,382.185376205,396.756309127,151.965532791
070r,20091016,above783.9,331.626722072,344.398646125,120.589828699
070r,20091016,above784.0,279.697119733,290.514971412,92.9868862373
070r,20091016,above784.1,232.558853276,241.430595014,69.2904413101
070r,20091016,above784.2,190.116178499,197.128307792,49.4353668129
070r,20091016,above784.3,148.386681637,153.639592376,33.2379205997
070r,20091016,above784.4,110.496929288,114.144545205,20.746892757
070r,20091016,above784.5,76.7671100894,79.0229933443,11.5393508383
070r,20091016,above784.6,48.1177518854,49.3239065784,5.40455689651
