Site,Date,Plane_Height,Area_2D,Area_3D,Volume
003l,19950623,8kto25k,2502.56948049,2528.21266243,2401.9571188
003l,19950623,above920.82,2783.22615709,2823.10729454,2549.33079229
003l,19950623,above920.92,2637.22578236,2675.25162492,2299.95113384
003l,19950623,above921.02,2483.26937657,2519.5128227,2064.80844429
003l,19950623,above921.12,2326.2854848,2360.70272334,1842.67432169
003l,19950623,above921.22,2187.94352461,2220.53591863,1636.38451823
003l,19950623,above921.32,2075.54485695,2106.28972061,1440.69224592
003l,19950623,above921.42,1942.3257397,1971.25931589,1256.37643312
003l,19950623,above921.52,1814.13756247,1841.32989601,1084.46893039
003l,19950623,above921.62,1690.23239774,1715.75821184,924.334325185
003l,19950623,above921.72,1534.19329999,1558.18903811,776.986459723
003l,19950623,above921.82,1319.67575875,1342.36121526,647.872361659
003l,19950623,above921.92,1036.72300915,1058.35045589,544.248096125
003l,19950623,above922.02,894.403625082,915.223528935,461.478895376
003l,19950623,above922.12,738.161643005,758.42040035,390.938179304
003l,19950623,above922.22,478.036083875,497.848721393,343.677685642
003l,19950623,above922.32,426.13431948,445.353222566,309.623809801
003l,19950623,above922.42,401.694856756,420.12661769,278.432655293
003l,19950623,above922.52,382.05842293,399.59573523,248.889813073
003l,19950623,above922.62,361.001157094,377.639118131,220.893325709
003l,19950623,above922.72,333.631078666,349.40154736,194.947451421
003l,19950623,above922.82,309.758485298,324.759112824,171.179914834
003l,19950623,above922.92,283.672308859,297.976462507,149.421077046
003l,19950623,above923.02,242.349084731,256.059004091,130.632395033
003l,19950623,above923.12,205.586388154,218.75387659,115.425542329
003l,19950623,above923.22,177.002507706,189.567716053,103.084563407
003l,19950623,above923.32,155.259789573,167.13820484,92.8059541147
003l,19950623,above923.42,139.347587376,150.421168546,83.8117467276
003l,19950623,above923.52,125.788959343,135.967925694,75.6617137059
003l,19950623,above923.62,114.201916218,123.387118546,67.9931600085
003l,19950623,above923.72,103.497670036,111.647044225,60.5924355363
003l,19950623,above923.82,93.1544977601,100.263237638,53.4046676712
003l,19950623,above923.92,82.6056126277,88.6960959477,46.4526767771
003l,19950623,above924.02,72.5175657863,77.6460071208,39.8512189676
003l,19950623,above924.12,62.5429644609,66.8206230308,33.793913556
003l,19950623,above924.22,52.7687826238,56.3380975599,28.3333289577
003l,19950623,above924.32,44.1294156188,47.0577196769,23.5682126612
003l,19950623,above924.42,37.0187029274,39.384583466,19.5277609797
