Site,Date,Plane_Height,Area_2D,Area_3D,Volume
062r,19990510,8kto25k,838.077757569,869.772908413,335.134692873
062r,19990510,above801.14,1122.29256486,1161.00041662,486.251587618
062r,19990510,above801.24,1082.37989767,1119.62078803,458.761124303
062r,19990510,above801.34,1042.42849828,1078.22181085,432.742418184
062r,19990510,above801.44,1002.24992154,1036.62641969,408.045311451
062r,19990510,above801.54,960.905595816,993.915843386,384.885704731
062r,19990510,above801.64,918.421139005,950.128663453,363.411020738
062r,19990510,above801.74,873.470958649,903.942345765,343.803074999
062r,19990510,above801.84,826.275711886,855.55052724,326.269229527
062r,19990510,above801.94,782.203454449,810.202726879,310.662440835
062r,19990510,above802.04,741.287701607,767.921041623,296.604478089
062r,19990510,above802.14,703.395632447,728.573043893,283.626417304
062r,19990510,above802.24,666.022465862,689.713932879,271.412025919
062r,19990510,above802.34,629.639667335,651.825539295,259.763604544
062r,19990510,above802.44,594.224797632,614.889207283,248.402098551
062r,19990510,above802.54,558.894499893,578.069651734,237.280232437
062r,19990510,above802.64,523.713575792,541.401477674,226.348883244
062r,19990510,above802.74,488.650037152,504.872658259,215.672793232
062r,19990510,above802.84,453.918180057,468.699999227,205.234069913
062r,19990510,above802.94,418.909537051,432.275853708,194.966267205
062r,19990510,above803.04,385.727716516,397.648065656,185.044973806
062r,19990510,above803.14,353.383009508,363.860121792,175.397003298
062r,19990510,above803.24,322.055604435,331.102656074,166.019774754
062r,19990510,above803.34,296.314645325,303.975067971,156.29721116
062r,19990510,above803.44,273.305114972,279.7023606,145.736552954
062r,19990510,above803.54,252.920850312,258.145070975,134.343278201
062r,19990510,above803.64,234.960716359,239.146825952,121.878872995
062r,19990510,above803.74,220.630895455,224.065404554,108.416206797
062r,19990510,above803.84,207.380648032,210.1577795,94.3763538614
062r,19990510,above803.94,195.127379102,197.342100568,79.8845924685
062r,19990510,above804.04,182.854036755,184.564202566,65.1437279403
062r,19990510,above804.14,169.467283684,170.735661637,50.5783843573
062r,19990510,above804.24,153.220743091,154.138731059,36.6702615613
062r,19990510,above804.34,130.167778566,130.78688236,23.8590498361
062r,19990510,above804.44,99.710059486,100.061856004,12.9545904694
062r,19990510,above804.54,62.7497751598,62.9248094174,4.78524042852
