Site,Date,Plane_Height,Area_2D,Area_3D,Volume
m006r,19970213,8kto25k,3611.35326917,3646.29993998,1112.5341857
m006r,19970213,above927.67,4147.82579943,4206.11408538,1297.87076302
m006r,19970213,above927.77,3981.99728519,4038.50655151,1201.87428793
m006r,19970213,above927.87,3816.75671446,3871.52476881,1094.17002695
m006r,19970213,above927.97,3623.54899431,3676.76651748,968.658092465
m006r,19970213,above928.07,3377.51857666,3429.30896865,826.174802265
m006r,19970213,above928.17,2986.72339033,3037.03392342,675.606673064
m006r,19970213,above928.27,2461.94216623,2510.43754052,545.782739252
m006r,19970213,above928.37,1871.3791329,1917.82916052,459.252154894
m006r,19970213,above928.47,1534.93144402,1579.29787182,406.790758038
m006r,19970213,above928.57,1268.66242392,1311.0732048,369.811221203
m006r,19970213,above928.67,1089.85168083,1130.5293552,343.493667057
m006r,19970213,above928.77,988.75888027,1027.81654063,320.364020372
m006r,19970213,above928.87,893.542475483,930.91791371,298.462613682
m006r,19970213,above928.97,808.813417567,844.106680303,278.013983174
m006r,19970213,above929.07,739.845477799,772.719525444,257.996013996
m006r,19970213,above929.17,676.600220325,706.860977459,237.99815891
m006r,19970213,above929.27,617.594431399,645.254230195,218.212083408
m006r,19970213,above929.37,568.062909715,593.174459448,198.607571287
m006r,19970213,above929.47,523.031099644,545.624771093,179.761751397
m006r,19970213,above929.57,479.334938062,499.500832009,161.993311566
m006r,19970213,above929.67,436.009866159,453.91049338,145.866727304
m006r,19970213,above929.77,395.012489818,410.775145604,131.358740927
m006r,19970213,above929.87,363.612530381,377.367055233,117.686914688
m006r,19970213,above929.97,329.592243316,341.526024863,104.350197779
m006r,19970213,above930.07,290.68894767,300.878228049,91.8081281529
m006r,19970213,above930.17,251.837516869,260.408511958,80.7375121634
m006r,19970213,above930.27,221.231658182,228.407800775,71.4040636747
m006r,19970213,above930.37,194.124135716,200.10515566,63.589129615
m006r,19970213,above930.47,171.514709273,176.473046986,57.1584106994
m006r,19970213,above930.57,153.642785525,157.751542177,51.6955463114
m006r,19970213,above930.67,137.799163117,141.185820031,46.7800023367
m006r,19970213,above930.77,125.248670681,128.048108287,42.0807874303
m006r,19970213,above930.87,115.749037635,118.037014045,37.1272249262
m006r,19970213,above930.97,105.921538903,107.734277395,31.6444284858
m006r,19970213,above931.07,95.1525420677,96.5225593802,24.9043058746
m006r,19970213,above931.17,81.9112922897,82.8664719422,17.0523089106
m006r,19970213,above931.27,63.6066002307,64.1710926305,9.7648977268
