Site,Date,Plane_Height,Area_2D,Area_3D,Volume
035l,20020923,8kto25k,1254.80779536,1295.43614665,384.90179094
035l,20020923,above848.27,1949.28755239,2003.41423835,599.748364877
035l,20020923,above848.37,1859.20370762,1912.4378559,585.670291694
035l,20020923,above848.47,1793.93513562,1845.90469593,574.955731714
035l,20020923,above848.57,1733.70725159,1784.28661469,565.822824786
035l,20020923,above848.67,1684.51007121,1733.62450828,556.986187264
035l,20020923,above848.77,1639.71374024,1687.35159013,547.411316457
035l,20020923,above848.87,1593.07322398,1639.19565802,536.603373328
035l,20020923,above848.97,1551.93016948,1596.51091528,524.971625183
035l,20020923,above849.07,1511.91138209,1554.95463833,512.573913871
035l,20020923,above849.17,1471.43975129,1512.9641155,499.801589592
035l,20020923,above849.27,1429.29422482,1469.33406534,487.002570236
035l,20020923,above849.37,1386.56335467,1425.16589387,474.394065633
035l,20020923,above849.47,1343.98627847,1381.29340181,461.962663193
035l,20020923,above849.57,1300.19824421,1336.34428471,449.833210017
035l,20020923,above849.67,1255.19736956,1290.17030138,438.031554926
035l,20020923,above849.77,1211.44533569,1245.2438352,426.270010517
035l,20020923,above849.87,1169.034493,1201.64466799,414.657779194
035l,20020923,above849.97,1124.87932068,1156.24693979,403.581072335
035l,20020923,above850.07,1084.15732397,1114.2691833,393.147489287
035l,20020923,above850.17,1048.3322036,1077.16783354,382.982139526
035l,20020923,above850.27,1014.84194589,1042.37341514,372.74010856
035l,20020923,above850.37,983.840197953,1010.03924761,361.83293777
035l,20020923,above850.47,954.659185685,979.507140624,349.588433974
035l,20020923,above850.57,926.972407764,950.453383228,335.942312397
035l,20020923,above850.67,900.292649347,922.411707592,321.309449531
035l,20020923,above850.77,871.553943976,892.376098336,305.897382598
035l,20020923,above850.87,838.178893198,857.768505723,290.236266719
035l,20020923,above850.97,805.008823447,823.390049953,274.774202237
035l,20020923,above851.07,776.515608504,793.698334074,259.797591616
035l,20020923,above851.17,750.765268114,766.770110013,245.168519647
035l,20020923,above851.27,725.261173663,740.110530762,231.009781977
035l,20020923,above851.37,699.623763365,713.34300606,217.466946728
035l,20020923,above851.47,673.618957518,686.254371202,204.699557982
035l,20020923,above851.57,648.331081752,659.933146305,192.710339316
035l,20020923,above851.67,623.542740098,634.152552324,181.443698076
035l,20020923,above851.77,599.007864124,608.664875804,170.814986751
035l,20020923,above851.87,573.88917698,582.669162618,160.745055304
035l,20020923,above851.97,548.943086972,556.908986789,151.129788265
035l,20020923,above852.07,522.392431391,529.594291414,142.116926549
035l,20020923,above852.17,497.473799571,503.946041592,133.482221051
035l,20020923,above852.27,470.663923877,476.507111932,125.093270633
035l,20020923,above852.37,443.390009031,448.656425168,117.143855522
035l,20020923,above852.47,416.321297929,421.028574227,110.009699593
035l,20020923,above852.57,387.827078826,392.006752875,103.530454108
035l,20020923,above852.67,359.093088196,362.786691096,97.3338699617
035l,20020923,above852.77,324.99821818,328.25009662,91.1894301877
035l,20020923,above852.87,293.691855025,296.61043828,85.2011985613
035l,20020923,above852.97,269.776135603,272.413489513,78.796422855
035l,20020923,above853.07,247.773709483,250.149077192,71.7077258076
035l,20020923,above853.17,226.164541891,228.286100044,64.0187121133
035l,20020923,above853.27,203.520232566,205.398278368,55.7121928278
035l,20020923,above853.37,172.799298136,174.497017292,47.0481655697
035l,20020923,above853.47,149.944115674,151.488821269,38.7514826142
035l,20020923,above853.57,128.488141222,129.893646652,30.8660180828
035l,20020923,above853.67,108.495323166,109.772124388,23.8153472166
035l,20020923,above853.77,89.1002671007,90.2549397932,17.6928555801
035l,20020923,above853.87,70.0648463742,71.1051823976,12.5957353719
035l,20020923,above853.97,52.5148313493,53.4390270863,8.61918567737
035l,20020923,above854.07,37.4926954052,38.2912709805,5.62767075979
035l,20020923,above854.17,25.5100221148,26.1590587706,3.40878853074
035l,20020923,above854.27,15.2022166893,15.6947384836,1.84667103583
035l,20020923,above854.37,7.68949855454,8.00782924299,0.914236720463
035l,20020923,above854.47,3.64272767588,3.82069756756,0.41539821312
