Site,Date,Plane_Height,Area_2D,Area_3D,Volume
041r,20161004,8kto25k,8037.62081784,8180.873246,11914.7387472
041r,20161004,above840.93,11623.599973,11879.979051,14514.2052333
041r,20161004,above841.03,11309.0000404,11562.1449403,13921.96178
041r,20161004,above841.13,10967.2144497,11217.0121954,13311.0496243
041r,20161004,above841.23,10574.9982147,10821.1368207,12690.911059
041r,20161004,above841.33,10111.0776104,10353.0599019,12067.2638061
041r,20161004,above841.43,9600.82854261,9838.28613173,11451.7928704
041r,20161004,above841.53,9063.29777559,9295.96499019,10845.1450446
041r,20161004,above841.63,8715.48663417,8943.32800182,10242.1062765
041r,20161004,above841.73,8389.58174404,8612.52295863,9619.79581317
041r,20161004,above841.83,8005.24417016,8223.1352245,8989.62069354
041r,20161004,above841.93,7284.84303775,7497.43957763,8371.57340712
041r,20161004,above842.03,6683.65780278,6890.74253845,7805.41469177
041r,20161004,above842.13,6225.41729484,6426.97450048,7279.12044817
041r,20161004,above842.23,5799.54376536,5995.13652989,6784.01483592
041r,20161004,above842.33,5336.42304541,5525.34072608,6326.1044853
041r,20161004,above842.43,5091.52679691,5273.37419752,5897.65677032
041r,20161004,above842.53,4928.83838101,5103.12788815,5481.12197211
041r,20161004,above842.63,4773.0840142,4939.53113121,5073.55011843
041r,20161004,above842.73,4602.24054911,4760.65711701,4675.30363474
041r,20161004,above842.83,4444.42533746,4594.77022288,4286.22926312
041r,20161004,above842.93,4297.18971571,4439.46813914,3905.27773328
041r,20161004,above843.03,4172.02383255,4306.32751472,3530.579331
041r,20161004,above843.13,4032.61235558,4159.01726133,3161.09399937
041r,20161004,above843.23,3747.91134083,3866.16622187,2804.63079082
041r,20161004,above843.33,3455.78112433,3565.38690181,2467.04059939
041r,20161004,above843.43,3124.30984829,3224.71515311,2155.14540317
041r,20161004,above843.53,2827.13546656,2918.0997174,1868.97886274
041r,20161004,above843.63,2520.51915156,2602.29455386,1609.05171549
041r,20161004,above843.73,2179.92939707,2253.324447,1379.09193768
041r,20161004,above843.83,1887.14843651,1953.0797504,1178.69953731
041r,20161004,above843.93,1606.08931741,1665.39895632,1006.66374648
041r,20161004,above844.03,1376.9853141,1430.45181186,859.35948705
041r,20161004,above844.13,1179.43858664,1227.73230919,732.890198475
041r,20161004,above844.23,1054.94159263,1098.78715994,622.13421098
041r,20161004,above844.33,950.821086682,990.522115882,522.067197542
041r,20161004,above844.43,845.363820696,881.06496436,432.224445549
041r,20161004,above844.53,730.558486374,762.583603953,353.510424502
