Site,Date,Plane_Height,Area_2D,Area_3D,Volume
044l,20091013,8kto25k,1819.32403385,1893.15457059,3905.40407996
044l,20091013,above836.92,3750.17446082,3879.08090386,5927.13616099
044l,20091013,above837.02,3542.33194922,3668.83399935,5751.61481254
044l,20091013,above837.12,3405.13546174,3529.21690701,5589.02952994
044l,20091013,above837.22,3342.77632934,3464.37471603,5430.56479456
044l,20091013,above837.32,3284.13613227,3403.14783082,5273.97258754
044l,20091013,above837.42,3227.90054805,3344.20964914,5118.90110185
044l,20091013,above837.52,3173.16015863,3286.67607255,4965.17111547
044l,20091013,above837.62,3120.68106706,3231.30774026,4812.64715287
044l,20091013,above837.72,3068.98550966,3176.66471618,4661.36659608
044l,20091013,above837.82,3018.03544774,3122.71997689,4511.11908792
044l,20091013,above837.92,2967.01392589,3068.69767728,4361.4722078
044l,20091013,above838.02,2915.35106932,3013.98542671,4211.36832108
044l,20091013,above838.12,2862.49414032,2957.98229527,4059.89466769
044l,20091013,above838.22,2808.60137601,2900.81762785,3907.9498218
044l,20091013,above838.32,2756.38799845,2845.29111551,3755.74395999
044l,20091013,above838.42,2703.17103022,2788.76029694,3603.53725406
044l,20091013,above838.52,2650.30050689,2732.61299205,3448.09315247
044l,20091013,above838.62,2588.07252274,2667.1945674,3290.69974712
044l,20091013,above838.72,2513.28717081,2589.03316026,3131.68084029
044l,20091013,above838.82,2433.27155325,2505.61077746,2966.46139472
044l,20091013,above838.92,2335.89740732,2404.92369604,2792.63280298
044l,20091013,above839.02,2236.17557973,2301.90390805,2609.58513117
044l,20091013,above839.12,2131.86408032,2194.1970998,2416.70866847
044l,20091013,above839.22,2024.09273008,2082.84086105,2217.80033852
044l,20091013,above839.32,1930.85042697,1985.92633327,2021.73208103
044l,20091013,above839.42,1842.85096182,1894.22116674,1833.23042041
044l,20091013,above839.52,1762.04959217,1809.72533267,1652.96249202
