Site,Date,Plane_Height,Area_2D,Area_3D,Volume
044l,20161004,8kto25k,2011.27737244,2068.85092226,1085.86629709
044l,20161004,above836.92,4015.5663558,4145.22188343,2506.77235767
044l,20161004,above837.02,3934.82392086,4062.38160311,2461.38053227
044l,20161004,above837.12,3841.46098009,3967.14647614,2415.68667451
044l,20161004,above837.22,3745.36812149,3869.29268398,2369.29048302
044l,20161004,above837.32,3648.65514128,3770.86214743,2322.94972755
044l,20161004,above837.42,3552.11360489,3672.62651445,2276.46142731
044l,20161004,above837.52,3455.14151905,3573.98575702,2229.67105053
044l,20161004,above837.62,3357.06063038,3474.27306883,2182.92780026
044l,20161004,above837.72,3254.908725,3370.57117191,2135.66850787
044l,20161004,above837.82,3148.97435483,3263.15619391,2088.1909522
044l,20161004,above837.92,3042.49997295,3155.21642852,2040.60585481
044l,20161004,above838.02,2934.88686122,3046.14242779,1993.01796202
044l,20161004,above838.12,2818.35845237,2928.19790221,1945.79959283
044l,20161004,above838.22,2702.17857883,2810.61337778,1900.20416377
044l,20161004,above838.32,2593.50917353,2700.52241121,1856.48013458
044l,20161004,above838.42,2488.25732628,2593.78976477,1815.5756324
044l,20161004,above838.52,2389.54740178,2493.32448416,1778.01931481
044l,20161004,above838.62,2312.99917141,2414.20644346,1742.45079618
044l,20161004,above838.72,2257.2336597,2354.98859692,1706.46278301
044l,20161004,above838.82,2215.46092767,2309.2137632,1667.80956642
044l,20161004,above838.92,2179.07512383,2268.6021162,1625.55505822
044l,20161004,above839.02,2144.69854202,2229.91438819,1579.37526326
044l,20161004,above839.12,2103.85300464,2184.65808929,1529.3786411
044l,20161004,above839.22,2056.60831957,2132.97791569,1476.26348218
044l,20161004,above839.32,2004.28898336,2076.37096117,1420.90606057
044l,20161004,above839.42,1951.12575887,2019.26688252,1363.8731765
044l,20161004,above839.52,1894.71075501,1959.24995525,1305.52906139
044l,20161004,above839.62,1834.64857976,1895.81786089,1246.25951959
044l,20161004,above839.72,1772.88304414,1830.82263649,1186.42866965
044l,20161004,above839.82,1711.46871819,1766.3008586,1125.8040054
044l,20161004,above839.92,1649.14621649,1700.97633897,1064.27632047
044l,20161004,above840.02,1577.54544005,1626.56454811,1002.21741671
044l,20161004,above840.12,1503.44011063,1549.82709791,940.356307544
044l,20161004,above840.22,1429.26067228,1473.10052049,878.344830798
044l,20161004,above840.32,1348.14163733,1389.52604001,816.051710542
044l,20161004,above840.42,1266.68940529,1305.63448698,753.914738842
044l,20161004,above840.52,1187.24101325,1223.74751524,692.724722193
044l,20161004,above840.62,1102.77539572,1136.93081431,633.190700576
044l,20161004,above840.72,1018.34530023,1050.23952933,576.194820744
044l,20161004,above840.82,934.057295035,963.733803525,521.700853225
044l,20161004,above840.92,846.67168016,874.17678762,469.616621085
044l,20161004,above841.02,766.682438586,792.014002073,420.025953025
044l,20161004,above841.12,688.147408768,711.393199554,372.930600056
044l,20161004,above841.22,606.336108097,627.401437411,329.016312661
044l,20161004,above841.32,532.705973092,551.584774732,288.511049003
044l,20161004,above841.42,468.071511503,484.75967317,250.195245089
044l,20161004,above841.52,408.951214572,423.642490855,212.980880928
044l,20161004,above841.62,360.407386921,373.352255861,176.855834472
044l,20161004,above841.72,315.10023664,326.444205776,143.410873375
