Site,Date,Plane_Height,Area_2D,Area_3D,Volume
045l,20161002,8kto25k,1620.2469562,1654.78615178,49.7879115961
045l,20161002,above836.29,2474.1995117,2551.24629233,124.389946262
045l,20161002,above836.39,2279.7798085,2356.16158578,61.1317813192
045l,20161002,above836.49,2106.10736358,2181.76673755,9.4415513734
045l,20161002,above836.59,1923.22346691,1998.13488341,-30.6369597463
045l,20161002,above836.69,1732.65934033,1806.81235266,-56.9493082458
045l,20161002,above836.79,1502.44633996,1575.75891473,-67.1441573234
045l,20161002,above836.89,1385.41348324,1457.68416652,-65.7148544064
045l,20161002,above836.99,1299.52763875,1370.64266203,-63.2266078449
045l,20161002,above837.09,1235.31198931,1305.18423641,-59.4886255802
045l,20161002,above837.19,1183.26860539,1251.77731405,-54.5321478597
045l,20161002,above837.29,1141.23836057,1208.24042441,-48.9030248924
045l,20161002,above837.39,1103.58680551,1168.97242677,-42.8041390468
045l,20161002,above837.49,1066.39624227,1130.09276024,-35.7760935577
045l,20161002,above837.59,1027.25450381,1089.18432754,-27.3226201167
045l,20161002,above837.69,996.39873555,1056.44303697,-17.2916836515
045l,20161002,above837.79,972.552411692,1030.61939887,-6.3660386802
045l,20161002,above837.89,954.239209374,1010.21496219,4.9045746836
045l,20161002,above837.99,937.462392668,991.281567586,16.2197395427
045l,20161002,above838.09,921.101829697,972.731570689,27.5335641843
045l,20161002,above838.19,904.869915035,954.310505438,38.8429675929
045l,20161002,above838.29,889.454169732,936.728768234,50.0982762183
045l,20161002,above838.39,873.057216593,918.161186659,61.2650857527
045l,20161002,above838.49,857.027414062,899.965608108,72.3948539045
045l,20161002,above838.59,841.657902781,882.460839129,83.341044751
045l,20161002,above838.69,826.107622017,864.821383015,94.0781800022
045l,20161002,above838.79,810.668534012,847.306845023,104.59559509
045l,20161002,above838.89,794.770173666,829.371094048,114.826713218
045l,20161002,above838.99,778.230563491,810.836338571,124.641454497
045l,20161002,above839.09,759.590766567,790.240264479,133.613659843
045l,20161002,above839.19,728.088431316,756.788803448,141.277400433
045l,20161002,above839.29,699.039458101,725.745379141,146.241885093
045l,20161002,above839.39,671.485638345,696.213984104,148.671052444
045l,20161002,above839.49,644.446426444,667.263845187,149.608728596
045l,20161002,above839.59,613.764549869,634.766195573,150.101992256
045l,20161002,above839.69,575.502522164,594.886101113,150.347190855
045l,20161002,above839.79,552.93918757,570.992811839,149.984354502
045l,20161002,above839.89,514.39905312,531.24707473,149.376848234
045l,20161002,above839.99,490.405080096,506.080860045,149.100415811
045l,20161002,above840.09,473.241873613,487.778121448,147.840107657
045l,20161002,above840.19,456.166465563,469.611268978,145.587793601
045l,20161002,above840.29,439.406536519,451.793149468,142.2023282
045l,20161002,above840.39,421.944291704,433.342603407,137.485059884
045l,20161002,above840.49,403.248548438,413.736783795,131.01011274
045l,20161002,above840.59,382.670978996,392.322377946,122.70595497
045l,20161002,above840.69,360.747504683,369.583465452,112.455294079
045l,20161002,above840.79,334.642364925,342.580364214,101.038596013
045l,20161002,above840.89,306.233471604,313.281927841,89.5586318065
045l,20161002,above840.99,277.04184428,283.250422542,78.5191380667
045l,20161002,above841.09,249.278474423,254.669886336,67.9984313839
045l,20161002,above841.19,221.425973019,226.00703313,57.5598261089
045l,20161002,above841.29,193.404292153,197.183920256,47.2119930145
045l,20161002,above841.39,165.131817963,168.128291745,37.4720495175
045l,20161002,above841.49,136.543351172,138.792450151,28.2747688315
045l,20161002,above841.59,98.8710785226,100.433781935,20.4031442223
045l,20161002,above841.69,64.4489120286,65.5213507423,14.937754442
045l,20161002,above841.79,45.3926025596,46.1798987181,10.9098355685
045l,20161002,above841.89,34.5967361057,35.2024327622,7.33773356665
045l,20161002,above841.99,25.1594875117,25.6035616387,4.39598396566
