Site,Date,Plane_Height,Area_2D,Area_3D,Volume
050r,19970424,8kto25k,871.875682581,907.813199512,549.229137386
050r,19970424,above830.5,1827.72253346,1877.38512236,974.097648912
050r,19970424,above830.6,1788.06644524,1836.03591743,961.012258587
050r,19970424,above830.7,1749.41554409,1795.6793,947.396126084
050r,19970424,above830.8,1713.83102037,1758.3221409,932.992095742
050r,19970424,above830.9,1683.30911008,1725.86746343,917.850734861
050r,19970424,above831.0,1654.92461892,1695.50363818,901.645011333
050r,19970424,above831.1,1626.83124277,1665.44929025,882.237292815
050r,19970424,above831.2,1599.46216835,1636.14169753,860.105442806
050r,19970424,above831.3,1571.66613787,1606.4532596,836.752251502
050r,19970424,above831.4,1542.85588234,1575.83548517,812.917262118
050r,19970424,above831.5,1512.69594906,1543.96739139,788.638570446
050r,19970424,above831.6,1481.10209345,1510.74210345,763.827680896
050r,19970424,above831.7,1448.85382256,1476.90112368,738.337784313
050r,19970424,above831.8,1417.75793883,1444.21923578,711.975462166
050r,19970424,above831.9,1386.78071011,1411.67274253,684.563429163
050r,19970424,above832.0,1353.85010691,1377.25317221,656.15664163
050r,19970424,above832.1,1314.723498,1336.80509399,627.000510011
050r,19970424,above832.2,1264.28114695,1285.30604444,598.016695062
050r,19970424,above832.3,1214.08538971,1234.14386961,569.429433446
050r,19970424,above832.4,1171.70145692,1190.63184575,540.607689632
050r,19970424,above832.5,1111.52765001,1129.31925448,511.847993522
050r,19970424,above832.6,1051.10274378,1067.77453597,485.169318445
050r,19970424,above832.7,1005.09490086,1020.54570593,459.219548467
050r,19970424,above832.8,965.786466723,979.9234292,432.987767316
050r,19970424,above832.9,934.443422164,947.193913447,405.188154262
050r,19970424,above833.0,905.685298872,916.991986943,374.925651955
050r,19970424,above833.1,880.338030391,890.055027045,342.001856546
050r,19970424,above833.2,856.353817492,864.432538099,306.463387731
050r,19970424,above833.3,829.680475679,836.243244296,268.627384604
050r,19970424,above833.4,792.055557554,797.374758432,228.987839844
050r,19970424,above833.5,734.272564222,738.655932414,188.36153001
050r,19970424,above833.6,664.15851098,667.75950316,150.152364854
050r,19970424,above833.7,593.115423967,596.012366464,115.147970022
050r,19970424,above833.8,515.483723457,517.70846202,83.3324984027
050r,19970424,above833.9,417.702494634,419.275335956,55.0514213783
050r,19970424,above834.0,278.683114672,279.711918484,33.3552636546
050r,19970424,above834.1,173.195911785,173.823234746,19.2609697308
050r,19970424,above834.2,111.797027094,112.149288257,9.18397406664
050r,19970424,above834.3,60.7425105453,60.8954295016,2.9752533684
050r,19970424,above834.4,10.2365287932,10.2595469803,0.18787248838
