Site,Date,Plane_Height,Area_2D,Area_3D,Volume
063l,20000915,8kto25k,2350.08021404,2374.30970038,2467.98211009
063l,20000915,above799.64,2529.52794721,2557.86224101,2518.7014515
063l,20000915,above799.74,2391.44868805,2418.39938331,2344.8145143
063l,20000915,above799.84,2258.40880462,2283.92136425,2178.32416932
063l,20000915,above799.94,2144.29644244,2168.17066961,2018.78751269
063l,20000915,above800.04,2048.78241815,2070.96000055,1864.36265656
063l,20000915,above800.14,1956.3590487,1976.95463754,1714.53813259
063l,20000915,above800.24,1856.65480517,1875.78114352,1570.08660344
063l,20000915,above800.34,1755.33675651,1773.13717021,1428.77269835
063l,20000915,above800.44,1653.05581009,1669.7348501,1293.14335348
063l,20000915,above800.54,1556.22836204,1571.91583265,1160.7007573
063l,20000915,above800.64,1455.50240427,1470.25345132,1032.40755404
063l,20000915,above800.74,1351.9286886,1365.7637327,910.830694775
063l,20000915,above800.84,1238.97883339,1251.95120437,791.554343314
063l,20000915,above800.94,1141.24222794,1153.35907943,673.20029461
