Site,Date,Plane_Height,Area_2D,Area_3D,Volume
063l,20080524,8kto25k,1363.13335192,1400.39523132,808.965015048
063l,20080524,above799.64,1745.99935385,1800.63294016,942.613507142
063l,20080524,above799.74,1726.75200914,1780.94432923,891.695304592
063l,20080524,above799.84,1684.44472899,1738.00115309,839.205154412
063l,20080524,above799.94,1610.95082506,1663.65318695,787.71424631
063l,20080524,above800.04,1531.72498498,1583.50277829,739.606344308
063l,20080524,above800.14,1454.34069617,1505.16373197,694.51278632
063l,20080524,above800.24,1382.4773786,1432.29149809,651.28682622
063l,20080524,above800.34,1310.61065977,1359.4015757,609.523189689
063l,20080524,above800.44,1238.55296024,1286.3100307,569.805352188
063l,20080524,above800.54,1166.27503124,1212.98445164,532.619753573
063l,20080524,above800.64,1093.67971277,1139.30732859,497.737521225
063l,20080524,above800.74,1023.97888289,1068.26926557,465.06263023
063l,20080524,above800.84,944.027882058,986.514413584,434.591495803
063l,20080524,above800.94,910.30408154,950.284597271,404.924883601
063l,20080524,above801.04,881.014684449,918.36639709,373.537054588
063l,20080524,above801.14,849.142762654,883.912079569,340.871977843
063l,20080524,above801.24,803.433892648,835.886379572,307.998572495
063l,20080524,above801.34,730.149689843,760.715066692,277.44811513
063l,20080524,above801.44,652.197660022,681.065795057,251.045346948
063l,20080524,above801.54,586.179617112,613.357854894,228.11341894
063l,20080524,above801.64,535.25068057,560.608247421,207.59769217
063l,20080524,above801.74,495.158734468,518.59569371,188.368763995
063l,20080524,above801.84,458.075037102,479.539263572,170.076582079
063l,20080524,above801.94,421.98500596,441.487211684,152.435443898
063l,20080524,above802.04,386.476819932,404.038630049,135.323407636
063l,20080524,above802.14,349.23026949,364.941382916,118.949831825
063l,20080524,above802.24,311.392765061,325.31608703,103.560266537
063l,20080524,above802.34,274.65525922,286.854348483,89.4749601617
063l,20080524,above802.44,242.235153378,252.75189004,76.4843379284
063l,20080524,above802.54,208.551326182,217.415997795,64.9951251934
063l,20080524,above802.64,180.233142417,187.509421107,54.9617692371
063l,20080524,above802.74,156.955693971,162.845798127,46.0022324604
063l,20080524,above802.84,136.678821018,141.326565055,37.9822872856
063l,20080524,above802.94,118.496336342,122.041051841,30.7342503064
063l,20080524,above803.04,102.636374837,105.282056633,24.1228252014
063l,20080524,above803.14,88.419055009,90.3932199406,17.959772703
063l,20080524,above803.24,70.843692078,72.3085298498,12.3520744996
063l,20080524,above803.34,52.8908312508,53.9477644573,7.58749722472
063l,20080524,above803.44,29.4704164135,30.2072209538,4.08798556213
063l,20080524,above803.54,15.6984577195,16.1973091846,1.88933125051
