Site,Date,Plane_Height,Area_2D,Area_3D,Volume
065r,20030502,8kto25k,298.022896507,304.527394706,161.643712021
065r,20030502,above796.73,303.959177128,314.326239063,164.607188455
065r,20030502,above796.83,300.641254772,310.975373158,150.146856637
065r,20030502,above796.93,293.022978129,303.22815415,133.746212191
065r,20030502,above797.03,277.88720652,287.799220413,115.72122941
065r,20030502,above797.13,262.132695232,271.594733464,97.3122478596
065r,20030502,above797.23,245.501029027,254.38011979,79.1409300295
065r,20030502,above797.33,229.407157636,237.706560478,61.4464767179
065r,20030502,above797.43,213.011219068,220.774834301,44.4565205224
065r,20030502,above797.53,191.713856967,199.009315217,28.47276584
065r,20030502,above797.63,126.921402075,133.744602153,15.587621202
065r,20030502,above797.73,38.420501214,44.8201211708,9.80281720262
065r,20030502,above797.83,26.7536791105,32.8140120209,8.20297249309
065r,20030502,above797.93,19.6511764221,25.4254745078,6.71213974548
065r,20030502,above798.03,14.3408387319,19.7831718083,5.51719510409
065r,20030502,above798.13,10.8280514428,15.866153227,4.59954870296
065r,20030502,above798.23,8.24958407812,12.8430133006,3.87988967984
065r,20030502,above798.33,6.57495170426,10.6942754,3.28726303609
065r,20030502,above798.43,5.59099138187,9.28598688439,2.75507525059
065r,20030502,above798.53,4.8410503951,8.1204622914,2.26189631254
065r,20030502,above798.63,4.18791897338,7.07159122156,1.81494748293
