Date,Volume,Errors
11/17/1993,22789.8,1033
4/7/1994,25769.1,938.3
10/21/1994,23072.3,1014
4/24/1995,25203.7,966.1
6/23/1995,23973.9,973.7
2/13/1996,16506,1208
4/16/1996,8257.43,1202
9/13/1996,9148.37,1269
2/14/1997,10014.2,1270
4/20/1997,11154.7,1284
8/24/1997,13064.4,1294
11/3/1997,16073.8,1161
11/6/1997,13704.6,1246
4/15/1998,14358.1,1283
5/6/1999,18100.5,1202
3/18/2000,22910.6,1056
8/19/2000,13053.1,1244
9/9/2000,12870.5,769.5
4/27/2002,16539.6,752.3
6/1/2004,20494.2,733.5
11/13/2004,24048.5,672.8
12/2/2004,16961.6,722.7
2/2/2008,26082.1,658.5
3/28/2008,11314.8,771.2
