Date,Volume,Errors
4/2/1993,8226.94,1003
10/8/1993,6931.4,656
4/9/1994,10823.7,1010
11/21/1994,8056.31,1020
4/26/1995,11510.3,1023
2/16/1996,9262.86,1081
4/17/1996,9694.72,1060
9/15/1996,5492.91,1118
2/15/1997,7979.92,1116
4/22/1997,7561.87,1127
8/26/1997,6415.31,1131
4/16/1998,10920.3,1027
5/7/1999,13308.5,987.1
3/20/2000,11329.6,1027
6/5/2000,10094.3,969
8/22/2000,11566.1,1004
9/11/2000,10659.4,629.3
4/30/2002,11041.5,673.8
11/14/2004,13238.8,654.5
12/3/2004,12894.4,629.8
2/3/2008,15951,612.2
3/29/2008,14639.8,627.6
