Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
030r,10/14/1990,above25k,893.2663099,914.4946322,1075.639651,35.7306524
030r,7/28/1991,above25k,855.810645,874.7058838,957.2780149,34.2324258
030r,10/17/1992,above25k,883.7666988,901.5431581,986.2744446,35.35066795
030r,4/2/1993,above25k,927.0306538,943.8400727,1032.245505,37.08122615
030r,10/9/1993,above25k,900.2309544,916.670092,967.0482986,36.00923818
030r,4/9/1994,above25k,891.9547266,908.7833398,969.3340676,35.67818906
030r,11/21/1994,above25k,848.684978,865.0833279,922.6048616,33.94739912
030r,4/26/1995,above25k,834.7501472,851.327015,914.864176,33.39000589
030r,2/16/1996,above25k,755.8379341,772.6026872,826.78916,30.23351736
030r,4/17/1996,above25k,1976.732249,2014.652732,2332.967517,79.06928995
030r,9/15/1996,above25k,1307.043031,1334.648118,1602.23657,52.28172125
030r,2/15/1997,above25k,1263.304313,1303.111143,1637.415499,50.53217252
030r,4/22/1997,above25k,1043.09972,1071.796919,1327.359745,41.72398881
030r,8/26/1997,above25k,891.6321547,917.7613394,1054.141615,35.66528619
030r,11/8/1997,above25k,859.1240257,880.9431205,840.818803,34.36496103
030r,4/16/1998,above25k,762.1154162,787.0731696,888.4447952,30.48461665
030r,5/7/1999,above25k,665.7853531,687.9403132,738.2087988,26.63141413
030r,3/20/2000,above25k,516.8102733,542.3467936,557.5027975,20.67241093
030r,6/5/2000,above25k,655.8671354,673.2498354,511.8585322,26.23468541
030r,8/21/2000,above25k,554.0912561,572.2928907,479.9086563,22.16365025
030r,9/11/2000,above25k,673.0852131,693.7659395,499.0127161,26.92340852
030r,10/6/2001,above25k,566.5761639,583.8850992,467.2431698,22.66304656
030r,5/4/2002,above25k,559.7752916,576.0937057,448.1235884,22.39101167
030r,9/22/2002,above25k,543.9768503,559.1916606,431.8687057,21.75907401
030r,4/27/2003,above25k,473.4048896,486.7276075,364.3939562,18.93619559
030r,9/22/2003,above25k,482.608095,498.3433518,365.6371015,19.3043238
030r,6/2/2004,above25k,484.0695305,500.0064365,367.1128677,19.36278122
030r,11/15/2004,above25k,467.8037789,483.8861216,359.0213091,18.71215116
030r,12/5/2004,above25k,1811.145697,1836.659157,1564.872172,72.44582788
030r,5/9/2005,above25k,1338.379939,1360.040299,1157.028683,53.53519755
030r,10/9/2006,above25k,898.1754872,922.7868486,779.4040818,35.92701949
030r,10/15/2007,above25k,590.6732175,607.1723584,459.4990792,23.6269287
030r,2/4/2008,above25k,603.8304287,621.6751329,456.0878917,24.15321715
030r,3/30/2008,above25k,1183.51988,1209.443437,949.4173887,47.34079518
030r,5/19/2008,above25k,1098.347296,1119.882127,875.615004,43.93389182
030r,10/13/2008,above25k,833.1596081,856.4142996,633.0484076,33.32638432
030r,10/12/2009,above25k,604.6569537,620.3878789,424.339291,24.18627815
030r,10/7/2011,above25k,267.8811828,289.6749938,65.54020021,10.71524731
030r,10/4/2012,above25k,292.8204354,309.412702,57.7894977,11.71281742
030r,11/28/2012,above25k,1627.871714,1646.501696,997.8079894,65.11486854
030r,9/23/2013,above25k,1387.923749,1404.072427,866.9587343,55.51694997
030r,9/26/2014,above25k,1117.060271,1135.709671,791.7769725,44.68241084
030r,9/25/2015,above25k,807.6392671,817.0909609,335.2571417,32.30557068
030r,10/3/2016,above25k,618.399631,628.5572749,259.0955063,24.73598524
