Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
047r,10/11/1993,minto8K(819.58),18935.29456,19480.8157,61921.11742,3408.353021
047r,4/11/1994,minto8K(818.38),18934.37277,19546.26097,62768.00693,3408.187098
047r,4/28/1995,minto8K(818.48),18936.19926,19803.82732,66504.81431,3408.515866
047r,2/18/1996,minto8K(818.18),18916.32948,19606.3917,58770.94127,3404.939306
047r,4/19/1996,minto8K(818.08),18936.19795,19645.33963,53359.24926,3408.515631
047r,9/16/1996,minto8K(817.38),18885.61309,19582.08423,49407.1135,3399.410356
047r,2/17/1997,minto8K(817.48),18936.19657,19753.29864,49030.54258,3408.515383
047r,4/24/1997,minto8K(818.48),18936.19719,19706.09699,56319.91954,3408.515494
047r,8/27/1997,minto8K(820.88),18936.19657,19729.97813,31655.47618,3408.515383
047r,4/18/1998,minto8K(818.28),18936.19576,19696.89458,59431.65172,3408.515237
047r,5/9/1999,minto8K(817.98),18936.19576,19639.50499,57496.48747,3408.515237
047r,3/23/2000,minto8K(817.88),18936.19604,19606.83007,55153.76701,3408.515287
047r,6/8/2000,minto8K(818.18),18936.19604,19729.69436,55915.13321,3408.515287
047r,8/24/2000,minto8K(818.38),18936.19608,19620.1768,60289.53809,3408.515294
047r,9/13/2000,minto8K(817.88),18936.19795,19707.73173,51426.31296,3408.515631
047r,2/7/2008,minto8K(816.88),18936.19719,19713.74763,50555.11225,2082.981691
047r,4/1/2008,minto8K(817.78),18936.19608,19727.15537,54198.18865,2082.981569
