Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
047r,10/22/1992,minto8K(821.38),21952.5344,22417.61895,87197.16994,5488.1336
047r,10/11/1993,minto8K(821.58),21884.85623,22335.06068,80102.24787,3939.274122
047r,4/11/1994,minto8K(820.98),22415.744,22893.19931,76526.17779,4034.83392
047r,4/28/1995,minto8K(819.48),23324.11087,24019.92819,71958.38436,4198.339956
047r,2/18/1996,minto8K(820.68),23576.60084,24153.0267,79402.22024,4243.78815
047r,4/19/1996,minto8K(819.58),20947.25596,21517.06714,72280.18042,3770.506072
047r,9/16/1996,minto8K(818.68),23918.93964,24670.04374,66923.0168,4305.409134
047r,2/17/1997,minto8K(819.88),23851.45521,24526.66574,74971.29831,4293.261939
047r,4/24/1997,minto8K(820.38),20809.40069,21462.44779,88378.73067,3745.692125
047r,8/27/1997,minto8K(822.28),21076.70435,21704.72716,86170.05718,3793.806782
047r,4/18/1998,minto8K(819.38),20738.24189,21432.94957,81473.21582,3732.883541
047r,5/9/1999,minto8K(819.18),22743.62195,23338.96546,74243.90883,4093.851952
047r,3/23/2000,minto8K(819.28),22513.17773,23175.00911,72961.60051,4052.371992
047r,6/8/2000,minto8K(820.58),21699.9402,22253.2307,75918.02769,3905.989235
047r,8/24/2000,minto8K(821.38),21765.73941,22282.20278,77713.60322,2394.231335
047r,9/13/2000,minto8K(819.68),20818.46335,21322.93935,70560.41703,3747.323403
047r,2/7/2008,minto8K(819.08),24961.53338,25590.55287,39998.71117,2745.768672
047r,4/1/2008,minto8K(819.48),22583.11643,23072.08798,65644.75074,2484.142807
