Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
051l,9/30/1990,8kto25k,9507.806759,9565.466445,7441.617666,380.3122704
051l,7/28/1991,8kto25k,8164.539739,8240.219103,6221.279274,326.5815896
051l,9/27/1991,8kto25k,7844.452009,7917.488802,7283.038835,313.7780804
051l,10/27/1991,8kto25k,7900.235082,7970.294457,7098.191628,316.0094033
051l,10/21/1992,8kto25k,8004.682684,8067.851905,6010.014755,320.1873074
051l,4/4/1993,8kto25k,7972.533913,8030.842665,5926.417197,318.9013565
051l,10/12/1993,8kto25k,6657.825959,6745.083531,4932.860841,266.3130384
051l,4/12/1994,8kto25k,7264.970326,7353.720168,5345.202192,290.598813
051l,11/24/1994,8kto25k,7208.439296,7311.874879,4874.235156,288.3375718
051l,4/29/1995,8kto25k,6971.366728,7071.626105,5032.463447,278.8546691
051l,2/19/1996,8kto25k,6824.22677,6929.656386,5212.364401,272.9690708
051l,4/20/1996,8kto25k,4637.687568,4751.991352,4943.182865,185.5075027
051l,9/17/1996,8kto25k,4351.747188,4500.304522,4088.983739,174.0698875
051l,2/17/1997,8kto25k,4289.374902,4429.717959,3982.905184,171.5749961
051l,4/24/1997,8kto25k,4550.028052,4694.253134,3520.554182,182.0011221
051l,8/28/1997,8kto25k,5207.957327,5348.259773,4161.299422,208.3182931
051l,11/10/1997,8kto25k,3767.793827,3896.138102,4563.905219,150.7117531
051l,4/19/1998,8kto25k,3796.069898,3929.924385,2484.349614,151.8427959
051l,5/9/1999,8kto25k,4344.454207,4464.867414,2906.754198,173.7781683
051l,3/24/2000,8kto25k,2838.386443,2976.781503,1725.887395,113.5354577
051l,6/11/2000,8kto25k,4522.086551,4661.413862,3381.983838,180.8834621
051l,8/25/2000,8kto25k,4569.838171,4709.622688,3396.510036,182.7935268
051l,9/14/2000,8kto25k,4648.890486,4789.876214,5238.154529,185.9556194
051l,10/9/2001,8kto25k,6503.72048,6626.863775,5985.971912,260.1488192
051l,9/25/2002,8kto25k,4179.58004,4321.29019,3248.907316,167.1832016
051l,5/1/2003,8kto25k,7366.051543,7507.157953,5089.175429,294.6420617
051l,9/25/2003,8kto25k,5808.485825,5939.034334,3583.087394,232.339433
051l,1/2/2005,8kto25k,3463.396014,3582.561622,4231.458248,138.5358406
051l,5/12/2005,8kto25k,3521.508245,3661.131482,3165.931923,140.8603298
051l,10/12/2006,8kto25k,6038.676161,6166.719562,4196.934052,241.5470465
051l,10/18/2007,8kto25k,6150.613482,6271.157613,5491.150537,246.0245393
051l,2/8/2008,8kto25k,6070.671921,6191.419859,5024.169649,242.8268768
051l,4/2/2008,8kto25k,2081.467239,2236.255769,2724.113,83.25868957
051l,5/21/2008,8kto25k,1916.263947,2074.506147,2632.431166,76.6505579
051l,10/15/2008,8kto25k,2381.298077,2552.694056,2687.712982,95.25192309
051l,10/14/2009,8kto25k,2990.841888,3165.405125,2799.076525,119.6336755
051l,10/10/2011,8kto25k,1513.060352,1685.763953,1941.269553,60.5224141
051l,10/8/2012,8kto25k,5097.889925,5287.1,3200.902809,203.915597
051l,9/26/2013,8kto25k,3467.922137,3633.448062,2768.484529,138.7168855
051l,9/29/2014,8kto25k,4178.765352,4367.595554,6741.338821,167.1506141
051l,9/28/2015,8kto25k,3219.549631,3359.238764,4740.092103,128.7819852
051l,10/6/2016,8kto25k,3807.858663,3971.098234,4721.474462,152.3143465
