Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
123l,10/27/1992,minto8K(597.6),6278.703528,6545.877007,10890.06513,1569.675882
123l,10/18/1993,minto8K(597.9),5556.798996,5744.982444,9536.99824,1000.223819
123l,4/19/1994,minto8K(596.6),6378.479237,6632.017811,7822.803623,1148.126263
123l,11/28/1994,minto8K(596.8),6094.777049,6443.549858,10794.26254,1097.059869
123l,5/4/1995,minto8K(597.3),6542.971143,6828.518819,10384.29878,1177.734806
123l,2/27/1996,minto8K(596.2),6366.566746,6685.949596,10756.10856,1145.982014
123l,4/28/1996,minto8K(594.8),6205.075009,6563.777645,7185.276323,1116.913502
123l,9/24/1996,minto8K(595.7),5799.050903,6148.355494,10115.25647,1043.829163
123l,2/22/1997,minto8K(593.7),6368.797365,6762.995733,4441.274564,1146.383526
123l,5/1/1997,minto8K(594.6),6008.041571,6372.815008,9140.871889,1081.447483
123l,9/3/1997,minto8K(596.3),6222.322569,6513.144014,9630.302349,1120.018062
123l,4/24/1998,minto8K(595.8),5847.752624,6171.428162,11932.74024,1052.595472
123l,5/16/1999,minto8K(596.8),6062.965254,6364.13066,9517.455509,1091.333746
123l,3/30/2000,minto8K(596.6),6594.761472,6968.249948,6596.810294,1187.057065
123l,2/13/2008,minto8K(597.4),5636.144644,5967.144681,12651.16042,619.9759109
123l,4/8/2008,minto8K(594.8),6560.556551,6920.476614,4606.623049,721.6612206
