Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
137l,4/11/1993,minto8K(558.68),5440.130358,5501.960061,1954.370859,979.2234644
137l,10/19/1993,minto8K(558.98),5362.272669,5402.059268,2832.63174,965.2090803
137l,4/18/1994,minto8K(558.68),5296.004776,5342.486699,1562.774546,953.2808596
137l,11/29/1994,minto8K(558.68),5403.47645,5461.99506,1963.87151,972.625761
137l,5/5/1995,minto8K(558.48),5321.140412,5366.764064,2239.364072,957.8052741
137l,2/28/1996,minto8K(558.78),5168.892343,5221.360851,1586.676027,930.4006218
137l,4/28/1996,minto8K(558.38),5434.093714,5496.012815,1037.954148,978.1368685
137l,9/24/1996,minto8K(558.58),5332.677384,5376.385418,1385.451908,959.8819291
137l,2/23/1997,minto8K(558.38),5310.878387,5364.130085,924.6745755,955.9581097
137l,5/2/1997,minto8K(558.68),5489.644265,5553.057435,3042.963872,988.1359677
137l,9/3/1997,minto8K(558.98),5465.658892,5514.402622,3358.276823,983.8186005
137l,4/24/1998,minto8K(558.78),5480.731692,5542.393467,2749.921189,986.5317046
137l,5/16/1999,minto8K(558.48),5489.644779,5541.434504,1568.19236,988.1360602
137l,3/31/2000,minto8K(558.48),5432.984037,5503.594518,1186.190369,977.9371267
137l,6/14/2000,minto8K(558.58),5452.527097,5505.434224,1988.77455,981.4548775
137l,2/14/2008,minto8K(558.28),5484.428271,5547.013975,925.3175976,603.2871098
137l,4/9/2008,minto8K(558.08),5489.642139,5562.523419,1028.114502,603.8606353
