Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
225r,11/3/1990,8kto25k,2359.905787,2386.330094,1038.576176,94.3962315
225r,7/30/1991,8kto25k,2389.32717,2427.066297,1252.24077,95.5730868
225r,11/2/1992,8kto25k,2811.517935,2841.781612,1710.298403,112.4607174
225r,10/26/1993,8kto25k,902.6397854,957.0555601,825.960594,36.10559142
225r,4/24/1994,8kto25k,1547.976614,1599.481708,1046.387212,61.91906458
225r,12/4/1994,8kto25k,1088.952833,1135.33975,950.5589467,43.55811332
225r,5/12/1995,8kto25k,2019.447468,2056.189703,1542.092021,80.77789873
225r,3/3/1996,8kto25k,828.9738863,893.6857437,705.0684141,33.15895545
225r,5/4/1996,8kto25k,969.631185,1029.423172,780.5109266,38.7852474
225r,9/28/1996,8kto25k,1519.034915,1575.286774,1135.747085,60.76139662
225r,2/28/1997,8kto25k,774.5239063,829.0932733,551.4401469,30.98095625
225r,5/8/1997,8kto25k,438.7591935,493.5708426,447.6986366,17.55036774
225r,9/7/1997,8kto25k,1068.842881,1124.638409,695.938329,42.75371524
225r,11/21/1997,8kto25k,325.1568953,368.8336996,498.1881557,13.00627581
225r,4/29/1998,8kto25k,695.0787001,750.9350394,442.3174216,27.803148
225r,5/22/1999,8kto25k,1086.114765,1140.658399,806.6525371,43.44459062
225r,4/4/2000,8kto25k,611.9252881,674.3576003,428.0588452,24.47701152
225r,6/18/2000,8kto25k,1116.351626,1180.19193,672.7981398,44.65406505
225r,10/19/2001,8kto25k,1718.200855,1777.10449,1297.20892,68.7280342
225r,10/7/2002,8kto25k,1717.196896,1782.847714,1602.672368,68.68787585
225r,5/12/2003,8kto25k,1904.523112,1958.162153,1857.556733,76.18092449
225r,10/6/2003,8kto25k,1636.252831,1689.059139,1801.278063,65.45011324
225r,5/22/2005,8kto25k,969.803983,1023.882652,2002.49448,38.79215932
225r,10/22/2006,8kto25k,1323.0504,1363.052438,2301.909366,52.92201599
225r,10/28/2007,8kto25k,1321.798461,1374.160175,2561.686679,52.87193845
225r,2/18/2008,8kto25k,1054.69459,1136.056281,2466.318854,42.18778359
225r,4/13/2008,8kto25k,573.4379345,614.4782106,2652.593909,22.93751738
225r,6/3/2008,8kto25k,854.5694369,898.9043841,2710.280411,34.18277747
225r,10/26/2008,8kto25k,833.7820418,877.2666345,2531.10745,33.35128167
225r,10/26/2009,8kto25k,1276.922268,1318.019865,2792.190672,51.07689073
225r,10/21/2011,8kto25k,318.4252185,387.3000474,1857.805517,12.73700874
225r,10/19/2012,8kto25k,875.672887,926.4994773,2115.52759,35.02691548
225r,10/7/2013,8kto25k,1362.849979,1400.781811,3037.128375,54.51399917
225r,10/10/2014,8kto25k,886.3902839,929.4444223,2893.118438,35.45561136
225r,10/9/2015,8kto25k,597.0436599,660.1256853,2391.77509,23.8817464
225r,10/16/2016,8kto25k,764.4802937,825.707079,2569.198386,30.57921175
