Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
m006r,11/18/1992,minto8K(910.67),13893.53402,14203.55266,8437.995724,3473.383505
m006r,3/17/1993,minto8K(911.07),10467.0148,10695.37283,6766.331898,1884.062663
m006r,11/17/1993,minto8K(911.17),13900.71126,14193.34557,12324.87141,2502.128027
m006r,6/16/1994,minto8K(910.87),13900.71126,14202.80313,9407.111703,2502.128027
m006r,10/20/1994,minto8K(910.87),13900.71218,14191.94584,10855.92753,2502.128192
m006r,4/24/1995,minto8K(910.57),13900.71644,14260.21627,8667.616799,2502.128959
m006r,6/22/1995,minto8K(910.87),13900.71584,14317.73207,10008.65693,2502.12885
m006r,2/13/1996,minto8K(910.47),13900.71456,14261.47045,6313.524444,2502.12862
m006r,4/15/1996,minto8K(910.47),13900.71227,14190.57662,7946.047785,2502.128209
m006r,9/12/1996,minto8K(910.07),13900.71665,14249.95641,5580.828561,2502.128997
m006r,2/13/1997,minto8K(910.07),13900.62092,14191.01304,4064.25523,2502.111765
m006r,4/20/1997,minto8K(911.07),13900.7158,14276.31669,12885.50831,2502.128844
m006r,8/23/1997,minto8K(910.47),13889.05475,14202.51932,10003.67793,2500.029854
m006r,4/14/1998,minto8K(911.17),13900.71227,14328.40577,12925.63423,2502.128209
m006r,3/17/2000,minto8K(910.57),13900.71495,14274.42833,9061.664089,2502.128691
m006r,8/9/2000,minto8K(910.17),13900.70457,14230.92825,7944.81046,2502.126822
m006r,10/7/2000,minto8K(910.37),13900.71107,14262.18489,8682.111048,2502.127992
