Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
m006r,7/12/1990,8kto25k,3145.386989,3178.447383,1221.535124,125.8154795
m006r,7/26/1991,8kto25k,3459.774622,3484.840946,901.0389684,138.3909849
m006r,11/18/1992,8kto25k,3418.090566,3456.05778,884.2819385,136.7236226
m006r,3/17/1993,8kto25k,3429.256171,3467.865521,906.871449,137.1702468
m006r,11/17/1993,8kto25k,3358.969083,3397.228197,921.8864444,134.3587633
m006r,6/16/1994,8kto25k,3264.653064,3301.162053,850.0242914,130.5861226
m006r,10/20/1994,8kto25k,3381.444481,3420.850405,974.0711417,135.2577792
m006r,4/24/1995,8kto25k,3448.501469,3481.604742,881.3902849,137.9400588
m006r,6/22/1995,8kto25k,3369.61155,3410.974472,818.7297038,134.784462
m006r,2/13/1996,8kto25k,3431.865841,3469.063887,858.0614974,137.2746336
m006r,4/15/1996,8kto25k,3945.403703,3978.305791,1388.075478,157.8161481
m006r,9/12/1996,8kto25k,3874.599767,3910.356573,1257.915121,154.9839907
m006r,2/13/1997,8kto25k,3611.353269,3646.29994,1112.534186,144.4541308
m006r,4/20/1997,8kto25k,3731.674282,3761.743871,1138.67897,149.2669713
m006r,8/23/1997,8kto25k,3348.896012,3380.117057,537.934654,133.9558405
m006r,4/14/1998,8kto25k,3862.632443,3891.11341,1204.486341,154.5052977
m006r,5/4/1999,8kto25k,4062.763853,4085.10397,1366.944047,162.5105541
m006r,3/17/2000,8kto25k,3333.676505,3363.766021,702.4575097,133.3470602
m006r,6/1/2000,8kto25k,4015.769844,4035.50601,1519.27855,160.6307938
m006r,8/9/2000,8kto25k,4337.286493,4360.480132,1533.682916,173.4914597
m006r,10/7/2000,8kto25k,4034.344597,4060.999604,1413.033107,161.3737839
m006r,11/2/2001,8kto25k,4044.697479,4079.632866,1316.291983,161.7878992
m006r,1/22/2003,8kto25k,3756.572122,3794.359001,1315.831598,150.2628849
m006r,12/30/2004,8kto25k,3671.014135,3712.832209,1444.998821,146.8405654
m006r,10/10/2008,8kto25k,3828.112883,3865.620719,1512.461169,153.1245153
m006r,9/23/2009,8kto25k,3769.128391,3806.075705,1616.133053,150.7651356
m006r,6/13/2014,8kto25k,4069.391313,4110.933879,2110.085402,162.7756525
m006r,9/23/2014,8kto25k,4041.38091,4081.020129,2111.305568,161.6552364
m006r,9/22/2015,8kto25k,4323.781889,4362.871156,2374.541059,172.9512756
