Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
m006r,7/12/1990,above25k,693.8881296,704.0571444,223.9630356,27.75552518
m006r,7/26/1991,above25k,604.1899801,616.3361097,233.5744343,24.1675992
m006r,11/18/1992,above25k,573.3746816,596.0919905,176.2216373,22.93498727
m006r,3/17/1993,above25k,562.8725824,587.7711847,191.3820669,22.5149033
m006r,11/17/1993,above25k,573.366549,594.864188,206.0899707,22.93466196
m006r,6/16/1994,above25k,590.2353689,612.5009381,208.2709207,23.60941476
m006r,10/20/1994,above25k,570.9848612,597.551475,216.4996667,22.83939445
m006r,4/24/1995,above25k,541.9709665,563.6486107,174.2247049,21.67883866
m006r,6/22/1995,above25k,576.4288768,601.4276349,207.4310333,23.05715507
m006r,2/13/1996,above25k,554.3766234,580.2191166,208.8718183,22.17506494
m006r,4/15/1996,above25k,529.9412078,550.9251687,195.3462656,21.19764831
m006r,9/12/1996,above25k,517.4317492,539.8561447,176.020197,20.69726997
m006r,2/13/1997,above25k,536.4725303,559.8141454,185.3365773,21.45890121
m006r,4/20/1997,above25k,492.2288729,516.8490744,162.0483257,19.68915492
m006r,8/23/1997,above25k,494.9331236,518.8472424,133.4197333,19.79732494
m006r,4/14/1998,above25k,426.703972,447.3495779,106.6943854,17.06815888
m006r,5/4/1999,above25k,381.5653405,405.3814461,118.2176038,15.26261362
m006r,3/17/2000,above25k,376.7807585,397.6198417,64.55068648,15.07123034
m006r,6/1/2000,above25k,481.9824597,499.1528842,121.5714648,19.27929839
m006r,8/9/2000,above25k,460.2583905,479.2309228,118.9752956,18.41033562
m006r,10/7/2000,above25k,471.6647939,493.6958505,133.7383591,18.86659176
m006r,11/2/2001,above25k,461.9472346,482.3147802,109.8806881,18.47788938
m006r,1/22/2003,above25k,456.9727194,479.2293907,123.3525263,18.27890878
m006r,12/30/2004,above25k,468.3470682,490.5844756,131.5082046,18.73388273
m006r,10/10/2008,above25k,472.1458717,491.6254406,109.3082315,18.88583487
m006r,9/23/2009,above25k,498.4798073,516.5826738,123.9327977,19.93919229
m006r,6/13/2014,above25k,542.5128299,557.1892617,123.6987199,21.70051319
m006r,9/23/2014,above25k,561.8345833,576.779491,127.6370442,22.47338333
m006r,9/22/2015,above25k,559.9846994,575.8817964,146.2365857,22.39938798
m006r,9/7/2016,above25k,577.5784336,591.2594319,133.0373181,23.10313735
