Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
m006r,11/18/1992,minto8K(917.37),7100.343891,7341.061818,5594.497537,1775.085973
m006r,3/17/1993,minto8K(916.77),6007.821033,6253.995306,3247.203017,1081.407786
m006r,11/17/1993,minto8K(917.17),7150.724833,7405.911688,6705.482045,1287.13047
m006r,6/16/1994,minto8K(917.07),7228.427313,7489.804027,6054.765966,1301.116916
m006r,10/20/1994,minto8K(917.17),7129.051564,7391.295821,6479.732808,1283.229281
m006r,4/24/1995,minto8K(915.97),7113.284147,7424.274993,6209.51379,1280.391146
m006r,6/22/1995,minto8K(916.67),7159.092719,7436.162622,5636.925301,1288.636689
m006r,2/13/1996,minto8K(917.27),7108.072007,7380.181277,6426.983444,1279.452961
m006r,4/15/1996,minto8K(915.17),6629.790212,6920.831261,4407.591129,1193.362238
m006r,9/12/1996,minto8K(915.87),6673.516442,6979.114223,4000.360529,1201.23296
m006r,2/13/1997,minto8K(916.27),6935.882573,7240.109649,5169.260884,1248.458863
m006r,4/20/1997,minto8K(915.87),6842.683531,7087.243343,5574.97261,1231.683036
m006r,8/23/1997,minto8K(915.77),7253.605876,7522.067781,5738.12101,1305.649058
m006r,4/14/1998,minto8K(913.67),6719.225084,7064.963987,8763.581286,1209.460515
m006r,3/17/2000,minto8K(916.37),7340.104659,7612.015692,8512.62365,1321.218839
m006r,8/9/2000,minto8K(916.07),6112.076213,6403.553018,9642.195182,1100.173718
m006r,10/7/2000,minto8K(915.87),6573.538198,6889.291408,9320.133501,1183.236876
