Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
024l,9/21/2002,8kto25k,2160.35817,2204.122169,1096.200077,86.41432679
024l,4/26/2003,8kto25k,2041.619334,2073.409962,872.6880817,81.66477335
024l,9/21/2003,8kto25k,2091.524923,2118.694613,872.2578168,83.66099692
024l,12/4/2004,8kto25k,2087.522855,2115.787797,1112.158549,83.5009142
024l,5/8/2005,8kto25k,1771.18393,1804.837144,384.164858,70.84735718
024l,10/8/2006,8kto25k,1984.332637,2023.829203,317.6921981,79.37330549
024l,10/14/2007,8kto25k,2024.145539,2059.7209,525.4733749,80.96582158
024l,2/4/2008,8kto25k,2121.916814,2155.963319,595.1092919,84.87667258
024l,3/29/2008,8kto25k,2174.992331,2215.802487,1201.165222,86.99969325
024l,10/12/2008,8kto25k,2309.286221,2332.344454,1218.128919,92.37144886
024l,10/11/2009,8kto25k,2031.207266,2054.828605,801.3173398,81.24829064
024l,10/6/2011,8kto25k,2501.878249,2527.853117,1762.326995,100.0751299
024l,10/4/2012,8kto25k,1935.237207,1971.923566,710.337829,77.40948828
024l,9/23/2013,8kto25k,2165.3985,2191.625608,1152.513955,86.61593999
024l,9/25/2014,8kto25k,1867.106096,1908.02827,701.82602,74.68424383
024l,9/24/2015,8kto25k,2042.684273,2079.480335,1152.609363,81.70737092
024l,10/2/2016,8kto25k,2048.813674,2083.30664,1378.119737,81.95254694
