Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
029l,5/6/2002,above25k,547.6758335,552.8429999,96.58830822,21.90703334
029l,9/22/2002,above25k,538.0526348,543.8522739,85.12953476,21.52210539
029l,4/27/2003,above25k,502.5614387,508.7118775,78.70991352,20.10245755
029l,9/22/2003,above25k,458.7263476,464.0084113,44.1391967,18.3490539
029l,12/4/2004,above25k,604.7362555,608.7792428,128.0371059,24.18945022
029l,5/9/2005,above25k,561.3765718,567.1966972,129.6956317,22.45506287
029l,10/9/2006,above25k,519.5876936,525.4175138,117.5311565,20.78350774
029l,10/15/2007,above25k,484.2707841,491.2936246,95.03980206,19.37083137
029l,2/4/2008,above25k,479.7059434,486.5656141,97.0469127,19.18823774
029l,3/30/2008,above25k,1128.105023,1136.651416,389.6696957,45.12420093
029l,9/22/2008,above25k,940.7464621,950.170152,224.7736695,37.62985848
029l,10/12/2009,above25k,783.2784632,795.9050937,228.6181499,31.33113853
029l,10/7/2011,above25k,426.441445,436.2994919,97.05545082,17.0576578
029l,10/5/2012,above25k,435.980955,446.273975,130.8609134,17.4392382
029l,9/23/2013,above25k,549.9813401,557.0852806,214.5400744,21.9992536
029l,9/26/2014,above25k,760.9186396,777.6208265,260.2439356,30.43674559
029l,9/25/2015,above25k,624.132328,641.738463,215.0516295,24.96529312
