Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
056r,9/25/2002,8kto25k,1981.227787,2002.765933,781.9507567,79.24911149
056r,5/1/2003,8kto25k,2733.158094,2752.994398,979.2376837,109.3263238
056r,9/25/2003,8kto25k,2744.771557,2763.923439,1101.124089,109.7908623
056r,1/2/2005,8kto25k,984.7509305,1044.905667,1838.564877,39.39003722
056r,5/12/2005,8kto25k,2867.880036,2892.768939,1622.178308,114.7152014
056r,10/12/2006,8kto25k,1127.36534,1160.454822,308.1078362,45.09461359
056r,10/18/2007,8kto25k,2574.446682,2603.845502,388.1484234,102.9778673
056r,2/8/2008,8kto25k,2574.75072,2604.139683,388.1945406,102.9900288
056r,4/2/2008,8kto25k,1376.493074,1411.125918,1607.72307,55.05972296
056r,5/21/2008,8kto25k,1656.383839,1684.685718,1495.670976,66.25535357
056r,10/16/2008,8kto25k,2039.163223,2063.225995,1580.584599,81.5665289
056r,10/15/2009,8kto25k,1750.666095,1775.844703,1313.56778,70.02664378
056r,10/10/2011,8kto25k,1744.587695,1768.50191,709.7472303,69.78350779
056r,10/8/2012,8kto25k,1700.557362,1731.594677,820.0453496,68.02229447
056r,9/26/2013,8kto25k,1413.853844,1441.70535,1351.64592,56.55415376
056r,9/29/2014,8kto25k,1361.195458,1392.382778,1690.29826,54.44781833
056r,9/28/2015,8kto25k,1721.78532,1750.179278,1946.210766,68.8714128
056r,10/6/2016,8kto25k,1088.572574,1126.378297,1462.945708,43.54290297
