Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
084r,9/28/2002,above25k,158.9292717,164.7442839,20.64974125,6.357170866
084r,5/3/2003,above25k,169.0982384,175.0410974,16.7472028,6.763929537
084r,9/28/2003,above25k,162.642785,168.3255901,10.93220961,6.5057114
084r,1/4/2005,above25k,281.547674,290.9514582,76.43780814,11.26190696
084r,5/14/2005,above25k,214.8916683,224.0003003,21.22744736,8.595666732
084r,10/14/2006,above25k,238.6750068,249.19204,49.37089015,9.547000272
084r,10/21/2007,above25k,190.4290044,197.2342155,27.10010941,7.617160176
084r,2/11/2008,above25k,225.7707776,233.6902872,35.00304177,9.030831104
084r,4/6/2008,above25k,284.7523318,297.1937507,105.8130411,11.39009327
084r,9/27/2008,above25k,271.9576264,285.4640788,91.96862395,10.87830506
084r,10/17/2009,above25k,261.4282364,275.4885177,81.42135349,10.45712945
084r,10/12/2011,above25k,248.0089792,265.0945851,70.08091008,9.920359166
084r,10/10/2012,above25k,241.7022057,257.1428288,65.61969271,9.668088228
084r,9/29/2013,above25k,274.9396702,290.39307,108.9181024,10.99758681
084r,10/2/2014,above25k,309.9836547,324.979915,143.785699,12.39934619
084r,10/1/2015,above25k,288.8897546,309.3196017,105.9608651,11.55559018
084r,10/9/2016,above25k,280.7417459,298.5882777,112.5474453,11.22966984
