Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
035l,5/8/1999,8kto25k,1243.110099,1288.019631,495.2352725,49.72440394
035l,3/20/2000,8kto25k,1231.785257,1274.935379,523.7104531,49.27141028
035l,6/6/2000,8kto25k,1541.125757,1583.405562,825.633605,61.6450303
035l,8/23/2000,8kto25k,1203.173475,1254.556839,634.6907522,48.12693902
035l,9/11/2000,8kto25k,1323.458004,1366.335243,796.5326525,52.93832016
035l,10/7/2001,8kto25k,1532.800295,1575.552807,588.0090512,61.31201181
035l,9/23/2002,8kto25k,1254.807795,1295.436147,384.9017909,50.19231181
035l,4/27/2003,8kto25k,1418.620761,1455.944134,403.6900865,56.74483044
035l,9/22/2003,8kto25k,1178.729963,1218.299279,356.1377391,47.14919852
035l,12/31/2004,8kto25k,1245.623404,1299.683921,1012.068923,49.82493616
035l,5/9/2005,8kto25k,1585.235731,1629.174381,945.6738379,63.40942925
035l,10/11/2006,8kto25k,1202.157985,1253.733405,365.4621904,48.08631939
035l,10/16/2007,8kto25k,1435.469848,1479.933859,420.4982976,57.41879392
035l,2/5/2008,8kto25k,1461.9173,1510.981685,552.3466734,58.47669201
035l,3/30/2008,8kto25k,1358.200396,1420.484458,1130.981536,54.32801583
035l,10/13/2008,8kto25k,1086.832258,1144.451421,533.4391785,43.47329034
035l,10/12/2009,8kto25k,1218.622878,1276.322286,400.3815889,48.7449151
035l,10/7/2011,8kto25k,1155.593988,1206.656851,517.0672663,46.22375952
035l,10/5/2012,8kto25k,1223.178958,1268.969823,415.6150633,48.92715832
035l,9/23/2013,8kto25k,1409.029383,1458.259388,487.7859366,56.36117531
035l,9/26/2014,8kto25k,1358.975418,1420.354369,598.7409683,54.35901672
035l,9/25/2015,8kto25k,1331.190099,1392.592773,578.4032479,53.24760394
