Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
035l,5/8/1999,above25k,675.0282,696.5647,295.0739,27.00113
035l,3/20/2000,above25k,700.978,716.2589,282.6306,28.03912
035l,6/6/2000,above25k,685.0533,699.5753,253.7519,27.40213
035l,8/23/2000,above25k,680.311,696.8254,249.5666,27.21244
035l,9/11/2000,above25k,695.1942,711.1735,239.8168,27.80777
035l,10/7/2001,above25k,690.1602,705.6675,218.955,27.60641
035l,9/23/2002,above25k,694.4798,707.9781,214.8466,27.77919
035l,4/27/2003,above25k,654.756,667.1881,191.9535,26.19024
035l,9/22/2003,above25k,702.6636,719.0927,216.3309,28.10654
035l,12/31/2004,above25k,789.4195,800.7307,253.0054,31.57678
035l,5/9/2005,above25k,746.7309,756.9542,223.873,29.86924
035l,10/11/2006,above25k,775.5121,789.3609,241.7076,31.02048
035l,10/16/2007,above25k,749.6307,765.1969,203.7786,29.98523
035l,2/5/2008,above25k,775.139,794.72,234.7493,31.00556
035l,3/30/2008,above25k,853.1184,864.8942,277.3537,34.12474
035l,10/13/2008,above25k,832.1838,845.4375,277.6508,33.28735
035l,10/12/2009,above25k,792.2288,805.8715,252.4799,31.68915
035l,10/7/2011,above25k,630.424,653.7759,131.8903,25.21696
035l,10/5/2012,above25k,643.0613,662.6315,114.4803,25.72245
035l,9/23/2013,above25k,704.2527,718.7177,138.8372,28.17011
035l,9/26/2014,above25k,819.2155,833.6699,193.639,32.76862
035l,9/25/2015,above25k,808.1974,829.7552,214.9596,32.32789
