Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
044l,2/17/1996,minto8K,13400.19933,13775.80961,35569.37449,2412.035879
044l,4/19/1996,minto8K,12844.83719,13363.86714,14716.43369,2312.070694
044l,9/16/1996,minto8K,13146.10898,13650.96571,24711.89772,2366.299617
044l,2/16/1997,minto8K,12555.03073,13119.38549,27935.7542,2259.905532
044l,4/23/1997,minto8K,11529.49054,12087.81093,32699.03878,2075.308297
044l,8/27/1997,minto8K,11832.48888,12380.75655,32032.62229,2129.847999
044l,4/17/1998,minto8K,13814.11816,14378.90023,35627.96874,2486.541268
044l,5/8/1999,minto8K,13417.17968,13957.25765,38571.64652,2415.092343
044l,3/22/2000,minto8K,12948.24249,13568.12164,36630.73821,2330.683649
044l,8/24/2000,minto8K,14741.63684,15312.59291,31508.83033,1621.580053
044l,9/13/2000,minto8K,14972.48279,15430.38697,17897.20328,2695.046902
044l,5/4/2002,minto8K,13261.26646,13835.09775,37793.3127,1458.739311
044l,6/3/2004,minto8K,11103.49054,11606.7009,45161.79705,1221.383959
044l,11/17/2004,minto8K,13070.55217,13503.45849,42703.91097,1437.760738
044l,12/7/2004,minto8K,12326.81683,12831.42691,20359.75032,1355.949851
044l,2/6/2008,minto8K,12526.84034,12935.10538,41873.32073,1377.952437
044l,3/31/2008,minto8K,11980.45311,12437.45343,20256.28942,1317.849842
