Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
044l,10/10/1993,minto8K(829.12),3266.251713,3359.089864,3458.378657,587.9253083
044l,4/11/1994,minto8K(828.52),3211.869878,3323.450917,1750.512047,578.136578
044l,11/22/1994,minto8K(828.92),3277.831188,3374.889297,2944.333988,590.0096139
044l,4/27/1995,minto8K(829.22),3220.622168,3335.690641,2481.47304,579.7119902
044l,2/17/1996,minto8K(829.22),3370.994304,3463.63045,2159.774071,606.7789748
044l,4/19/1996,minto8K(828.72),2815.798014,2924.814329,4927.839076,506.8436425
044l,9/16/1996,minto8K(828.32),3219.698425,3355.792245,1040.831907,579.5457165
044l,2/16/1997,minto8K(829.32),3186.126866,3313.202564,2863.934957,573.5028358
044l,4/23/1997,minto8K(829.32),3012.320466,3108.793886,3748.40288,542.2176839
044l,8/27/1997,minto8K(828.82),3191.470674,3306.644575,1984.853826,574.4647213
044l,4/17/1998,minto8K(829.42),3119.901922,3218.623832,3721.566035,561.582346
044l,5/8/1999,minto8K(829.12),3159.913397,3263.792246,2932.692053,568.7844114
044l,3/22/2000,minto8K(829.02),3165.940426,3275.726217,2736.044964,569.8692766
044l,8/24/2000,minto8K(828.92),3282.737962,3397.035157,3523.854485,361.1011758
044l,9/13/2000,minto8K(828.82),3164.126309,3265.746996,2960.162077,569.5427355
044l,5/4/2002,minto8K(828.72),3235.995392,3344.394203,2685.705167,355.9594931
044l,6/3/2004,minto8K(828.62),3299.305427,3438.436818,2340.936678,362.923597
044l,11/17/2004,minto8K(828.72),3409.931533,3517.867367,1678.572825,375.0924686
044l,12/7/2004,minto8K(828.82),3230.811729,3330.089586,3269.133392,355.3892902
044l,2/6/2008,minto8K(828.82),3136.407794,3263.470878,2856.971083,345.0048573
044l,3/31/2008,minto8K(828.92),3000.125953,3103.955607,4509.797145,330.0138548
