Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
044l,2/17/1996,minto8K(823.22),18583.64,19086.46,19076.52,3345.055
044l,4/19/1996,minto8K(823.92),18480.67,19058.41,15542.99,3326.521
044l,9/16/1996,minto8K(822.12),18584.41,19162.97,2979.949,3345.194
044l,2/16/1997,minto8K(822.72),18529.46,19102.19,11001.05,3335.302
044l,4/23/1997,minto8K(823.12),18583.79,19121.84,16477.89,3345.082
044l,8/27/1997,minto8K(822.72),18584.72,19144.37,11584.4,3345.249
044l,4/17/1998,minto8K(823.22),18580.18,19219.6,18777.88,3344.433
044l,5/8/1999,minto8K(823.72),18553.55,19174.79,18744.6,3339.639
044l,3/22/2000,minto8K(823.72),18584.72,19145.29,15654.61,3345.249
044l,8/24/2000,minto8K(823.42),18541.49,19200.71,17243.66,3337.467
044l,9/13/2000,minto8K(822.42),18186.66,18729.56,13416.5,3273.599
044l,5/4/2002,minto8K(822.82),18584.71,19304.99,16218.31,2044.319
044l,6/3/2004,minto8K(823.92),18584.72,19354.49,17889.45,2044.319
044l,11/17/2004,minto8K(823.22),18584.72,19278.59,15103.54,2044.319
044l,12/7/2004,minto8K(822.92),18584.72,19224.48,22906.03,2044.319
044l,2/6/2008,minto8K(823.32),18531.12,19324.79,20848.06,2038.423
044l,3/31/2008,minto8K(822.82),18584.72,19268.46,22726.12,2044.319
