Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
044l,10/10/1993,minto8K(829.12),3266.252,3359.09,3458.379,587.9253
044l,4/11/1994,minto8K(828.52),3211.87,3323.451,1750.512,578.1366
044l,11/22/1994,minto8K(828.92),3277.831,3374.889,2944.334,590.0096
044l,4/27/1995,minto8K(829.22),3220.622,3335.691,2481.473,579.712
044l,2/17/1996,minto8K(829.22),16771.19,17239.44,37729.15,3018.815
044l,4/19/1996,minto8K(828.72),15660.64,16288.68,19644.27,2818.914
044l,9/16/1996,minto8K(828.32),16365.81,17006.76,25752.73,2945.845
044l,2/16/1997,minto8K(829.32),15741.16,16432.59,30799.69,2833.408
044l,4/23/1997,minto8K(829.32),14541.81,15196.6,36447.44,2617.526
044l,8/27/1997,minto8K(828.82),15023.96,15687.4,34017.48,2704.313
044l,4/17/1998,minto8K(829.42),16934.02,17597.52,39349.53,3048.124
044l,5/8/1999,minto8K(829.12),16577.09,17221.05,41504.34,2983.877
044l,3/22/2000,minto8K(829.02),16114.18,16843.85,39366.78,2900.553
044l,8/24/2000,minto8K(828.92),18024.37,18709.63,35032.68,1982.681
044l,9/13/2000,minto8K(828.82),18136.61,18696.13,20857.37,3264.59
044l,5/4/2002,minto8K(828.72),16497.26,17179.49,40479.02,1814.699
044l,6/3/2004,minto8K(828.62),14402.8,15045.14,47502.73,1584.308
044l,11/17/2004,minto8K(828.72),16480.48,17021.33,44382.48,1812.853
044l,12/7/2004,minto8K(828.82),15557.63,16161.52,23628.88,1711.339
044l,2/6/2008,minto8K(828.82),15663.25,16198.58,44730.29,1722.957
044l,3/31/2008,minto8K(828.92),14980.58,15541.41,24766.09,1647.864
