Date,Volume,Errors
10/10/1993,4780.713,742.5276
4/11/1994,3004.96,735.826
11/22/1994,4097.853,744.6839
4/27/1995,3573.235,734.7938
2/17/1996,42431.62,3364.786
4/19/1996,28984.9,3209.604
9/16/1996,33846.83,3308.218
2/16/1997,38994.79,3212.703
4/23/1997,46332.34,3046.072
8/27/1997,43388.6,3116.91
4/17/1998,46296.74,3387.598
5/8/1999,47374.73,3336.355
3/22/2000,45980.4,3272.05
8/24/2000,39609.23,2275.886
9/13/2000,25650.08,3552.631
5/4/2002,45164.72,2171.913
6/3/2004,54720.57,2024.357
11/17/2004,50299.36,2170.749
12/7/2004,32759.43,2104.124
2/6/2008,51577.68,2113.478
3/31/2008,36490.13,2065.756
