Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
045l,5/5/2002,8kto25k,1488.946345,1526.79001,782.6876595,59.5578538
045l,9/24/2002,8kto25k,1909.074944,1945.642538,875.0689626,76.36299776
045l,4/30/2003,8kto25k,2910.695925,2943.921893,2056.799958,116.427837
045l,9/24/2003,8kto25k,2715.501109,2744.330236,1868.35633,108.6200444
045l,11/18/2004,8kto25k,2566.465827,2596.673326,1797.389576,102.6586331
045l,12/7/2004,8kto25k,3258.387387,3324.855462,6991.516553,130.3354955
045l,5/11/2005,8kto25k,1946.646593,1981.21263,3091.421181,77.8658637
045l,10/11/2006,8kto25k,1433.101691,1474.770029,984.2421069,57.32406762
045l,10/17/2007,8kto25k,1878.696358,1914.558071,935.7194167,75.14785433
045l,2/7/2008,8kto25k,687.3847401,729.1483122,660.2446282,27.4953896
045l,3/31/2008,8kto25k,2180.58387,2240.565054,5975.37614,87.22335479
045l,5/20/2008,8kto25k,1266.557493,1319.507704,4362.538675,50.66229972
045l,10/15/2008,8kto25k,1219.280624,1263.171464,3052.479585,48.77122498
045l,10/14/2009,8kto25k,1514.96341,1555.618983,2239.995105,60.59853639
045l,10/9/2011,8kto25k,954.1931831,1000.401568,607.8936367,38.16772732
045l,10/7/2012,8kto25k,2123.959989,2161.38908,1057.32487,84.95839957
045l,9/25/2013,8kto25k,1633.332971,1680.722026,3267.277533,65.33331885
045l,9/28/2014,8kto25k,1516.506577,1556.397053,552.9327686,60.6602631
045l,9/27/2015,8kto25k,3056.368868,3099.211781,1268.295529,122.2547547
045l,10/2/2016,8kto25k,1620.246956,1654.786152,49.7879116,64.80987825
