Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
045l,5/5/2002,above25k,1150.841595,1183.98445,406.8783135,46.0336638
045l,9/24/2002,above25k,1150.856057,1183.894605,407.3614329,46.03424229
045l,4/30/2003,above25k,1144.072741,1177.570803,427.4788371,45.76290962
045l,9/24/2003,above25k,1143.810189,1178.292317,459.2007998,45.75240755
045l,11/18/2004,above25k,1143.117871,1177.674508,459.2865076,45.72471486
045l,12/7/2004,above25k,2622.527202,2654.4774,1153.897556,104.9010881
045l,5/11/2005,above25k,2001.595342,2035.288746,973.0588713,80.0638137
045l,10/11/2006,above25k,1272.148193,1303.916165,562.62428,50.88592771
045l,10/17/2007,above25k,1250.015189,1280.136111,524.9017501,50.00060755
045l,2/7/2008,above25k,1283.488858,1315.358772,548.2103528,51.33955432
045l,3/31/2008,above25k,2598.391738,2623.67811,1354.191642,103.9356695
045l,5/20/2008,above25k,2542.268143,2566.704681,1256.167309,101.6907257
045l,10/15/2008,above25k,2140.349814,2168.433298,1187.432692,85.61399257
045l,10/14/2009,above25k,1778.225743,1809.706396,1002.747353,71.12902972
045l,10/9/2011,above25k,1181.140062,1214.271051,534.6694543,47.2456025
045l,10/7/2012,above25k,1052.771176,1090.282092,393.2521296,42.11084702
045l,9/25/2013,above25k,2008.172638,2042.285874,675.3977373,80.32690553
045l,9/28/2014,above25k,1025.746958,1058.927258,264.6441907,41.02987831
045l,9/27/2015,above25k,860.5918599,902.3614771,79.358188,34.4236744
045l,10/2/2016,above25k,853.9525555,896.4601405,74.60203467,34.15810222
