Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
045l,5/5/2002,above25k,0,0,0,0
045l,9/24/2002,above25k,0,0,0,0
045l,4/30/2003,above25k,0,0,0,0
045l,9/24/2003,above25k,0,0,0,0
045l,11/18/2004,above25k,689.6113351,705.6833708,230.2171174,27.5844534
045l,12/7/2004,above25k,640.6939439,658.0849228,220.7499581,25.62775776
045l,5/11/2005,above25k,0,0,0,0
045l,10/11/2006,above25k,0,0,0,0
045l,10/17/2007,above25k,0,0,0,0
045l,2/7/2008,above25k,609.3387405,640.9494719,307.0003556,24.37354962
045l,3/31/2008,above25k,803.8941248,830.1588488,398.8985652,32.15576499
045l,5/20/2008,above25k,790.7060087,818.8844249,418.2729541,31.62824035
045l,10/15/2008,above25k,718.0490044,750.8962033,394.3668985,28.72196018
045l,10/14/2009,above25k,657.7823326,685.9643307,356.9867413,26.31129331
045l,10/9/2011,above25k,507.2809356,544.306501,196.1391488,20.29123743
045l,10/7/2012,above25k,511.5115754,547.0137765,164.6482269,20.46046302
045l,9/25/2013,above25k,746.4368929,773.8520254,256.5086361,29.85747572
045l,9/28/2014,above25k,751.1151353,783.6492649,354.6430819,30.04460541
045l,9/27/2015,above25k,698.8508342,736.211491,336.8307286,27.95403337
