Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
045l,5/5/2002,8kto25k,1488.946,1526.79,782.6877,59.55785
045l,9/24/2002,8kto25k,1909.075,1945.643,875.069,76.363
045l,4/30/2003,8kto25k,2910.696,2943.922,2056.8,116.4278
045l,9/24/2003,8kto25k,2715.501,2744.33,1868.356,108.62
045l,11/18/2004,8kto25k,3874.531,3927.454,2550.124,154.9812
045l,12/7/2004,8kto25k,4778.765,4877.813,8352.031,191.1506
045l,5/11/2005,8kto25k,1946.647,1981.213,3091.421,77.86586
045l,10/11/2006,8kto25k,1433.102,1474.77,984.2421,57.32407
045l,10/17/2007,8kto25k,1878.696,1914.558,935.7194,75.14785
045l,2/7/2008,8kto25k,2215.191,2290.494,1085.607,88.60763
045l,3/31/2008,8kto25k,3302.023,3400.65,6980.86,132.0809
045l,5/20/2008,8kto25k,2482.924,2568.566,5209.969,99.31698
045l,10/15/2008,8kto25k,2825.707,2899.039,3966.137,113.0283
045l,10/14/2009,8kto25k,2765.249,2843.007,2539.842,110.61
045l,10/9/2011,8kto25k,2569.756,2647.915,1677.641,102.7902
045l,10/7/2012,8kto25k,3387.263,3449.456,1388.796,135.4905
045l,9/25/2013,8kto25k,3211.857,3279.044,4398.385,128.4743
045l,9/28/2014,8kto25k,2762.963,2834.966,1097.429,110.5185
045l,9/27/2015,8kto25k,4435.806,4507.48,1991.735,177.4322
045l,10/2/2016,8kto25k,2905.443,2968.584,352.6143,116.2177
