Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
050r,10/20/1992,minto8K,2755.069728,2831.390268,2839.580559,495.912551
050r,10/11/1993,minto8K,2383.72644,2493.730058,4235.85492,429.0707592
050r,4/11/1994,minto8K,2467.722,2628.398,3254.283,444.18996
050r,11/23/1994,minto8K,3349.351075,3466.87982,3027.611145,602.8831936
050r,4/28/1995,minto8K,2597.20517,2755.902516,4274.775001,467.4969306
050r,2/19/1996,minto8K,2640.264914,2785.331826,3459.847804,475.2476846
050r,4/19/1996,minto8K,2373.470964,2498.844383,3464.980841,427.2247735
050r,9/17/1996,minto8K,2026.433835,2192.735197,3780.565024,364.7580903
050r,2/17/1997,minto8K,1992.171591,2203.257703,2868.715023,358.5908864
050r,4/24/1997,minto8K,2122.110533,2293.615581,2605.34547,381.9798959
050r,8/27/1997,minto8K,2581.124924,2728.04785,2250.790185,464.6024863
050r,4/18/1998,minto8K,2725.29037,2817.563924,3255.125874,490.5522665
050r,5/9/1999,minto8K,3430.28645,3549.574601,2169.8927,617.451561
050r,3/25/2000,minto8K,3254.48011,3408.853031,3464.017278,585.8064197
050r,8/24/2000,minto8K,2237.954109,2363.22166,4049.455181,246.174952
050r,9/13/2000,minto8K,2941.072137,3030.125433,3303.933797,529.3929847
