Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
050r,10/20/1992,minto8K(824.5),2278.548648,2320.304783,1512.88539,410.1387567
050r,10/11/1993,minto8K(824.7),2248.947154,2294.66523,1165.541532,404.8104877
050r,4/11/1994,minto8K(824.7),2241.938,2317.516,326.5825,403.54884
050r,11/23/1994,minto8K(824.2),2272.049561,2319.068217,1154.134965,408.9689209
050r,4/28/1995,minto8K(824.1),2242.176537,2301.960838,832.8186388,403.5917766
050r,2/19/1996,minto8K(824.4),2390.77171,2462.229332,524.680978,430.3389078
050r,4/19/1996,minto8K(824.4),2219.743859,2273.262912,1134.204655,399.5538946
050r,9/17/1996,minto8K(824.2),2250.504852,2297.874126,1111.023975,405.0908733
050r,2/17/1997,minto8K(823.9),2223.965211,2271.550305,1118.510349,400.313738
050r,4/24/1997,minto8K(824.3),2390.482871,2439.661184,756.4979309,430.2869168
050r,8/27/1997,minto8K(824.4),2289.761604,2330.491788,1390.322603,412.1570887
050r,4/18/1998,minto8K(824.5),2314.154914,2357.775727,1306.972468,416.5478845
050r,5/9/1999,minto8K(824.1),2291.166578,2340.481964,1025.172449,412.409984
050r,3/25/2000,minto8K(824.1),2296.886518,2346.0813,1011.04333,413.4395732
050r,8/24/2000,minto8K(824.2),2337.605788,2380.580964,927.3385741,257.1366367
050r,9/13/2000,minto8K(825.2),2286.027568,2329.187597,1232.195391,411.4849622
