Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
065r,3/27/1996,8kto25k,3186.319893,3214.418159,1554.284169,127.4527957
065r,4/6/1996,8kto25k,1900.886619,1925.824055,2542.930748,76.03546478
065r,4/26/1997,8kto25k,7353.511879,7405.154419,6703.25967,294.1404752
065r,8/30/1997,8kto25k,5914.590467,5954.726651,4458.183755,236.5836187
065r,11/12/1997,8kto25k,3608.886075,3638.635635,2928.004497,144.355443
065r,4/21/1998,8kto25k,3501.515401,3535.855928,2075.717613,140.0606161
065r,5/10/1999,8kto25k,3307.222005,3340.390724,1803.412988,132.2888802
065r,3/25/2000,8kto25k,1574.340823,1603.995341,684.4295239,62.97363293
065r,6/10/2000,8kto25k,4588.615205,4630.914245,2383.621118,183.5446082
065r,8/23/2000,8kto25k,4414.576422,4453.848382,2289.595795,176.5830569
065r,9/15/2000,8kto25k,4671.271232,4722.317075,3739.990992,186.8508493
065r,10/10/2001,8kto25k,2563.057936,2589.107991,1333.133067,102.5223175
065r,5/8/2002,8kto25k,2974.493644,2999.434029,1244.548913,118.9797457
065r,9/27/2002,8kto25k,355.849144,381.3046436,192.2738988,14.23396576
065r,5/2/2003,8kto25k,298.0228965,304.5273947,161.643712,11.92091586
065r,9/27/2003,8kto25k,780.3230386,788.8801318,289.5809159,31.21292155
065r,6/7/2004,8kto25k,1021.629924,1027.223324,362.8451618,40.86519694
065r,11/20/2004,8kto25k,712.5736102,720.0700753,255.0304469,28.50294441
065r,12/9/2004,8kto25k,3765.419298,3823.792117,5445.736012,150.6167719
065r,5/13/2005,8kto25k,558.9473808,567.6184567,541.6858751,22.35789523
065r,10/13/2006,8kto25k,749.3818265,755.0323692,216.3400596,29.97527306
065r,10/19/2007,8kto25k,500.5644711,505.0554012,231.1495341,20.02257884
065r,2/9/2008,8kto25k,2342.395987,2350.054823,381.1909766,93.69583948
065r,4/3/2008,8kto25k,2323.090016,2360.52459,6599.335387,92.92360066
065r,5/24/2008,8kto25k,1836.907854,1873.472788,4856.237034,73.47631416
065r,10/17/2008,8kto25k,1463.328669,1499.319202,1590.437729,58.53314675
065r,10/16/2009,8kto25k,2524.02877,2540.61077,1028.704641,100.9611508
065r,10/11/2011,8kto25k,997.8945074,1020.472761,762.0259944,39.9157803
065r,10/9/2012,8kto25k,2164.529291,2168.473062,772.2021447,86.58117163
065r,9/27/2013,8kto25k,1072.061751,1097.700339,1127.990807,42.88247006
065r,9/30/2014,8kto25k,456.7886025,482.7155548,861.6139393,18.2715441
065r,9/29/2015,8kto25k,1232.868712,1258.200492,540.3863399,49.31474848
065r,10/7/2016,8kto25k,227.4165991,236.4551315,95.41423835,9.096663964
065r,10/7/2016,8kto25k,227.4165991,236.4551315,95.41423835,9.096663964
