Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
065r,3/27/1996,above25k,150.8694541,158.7420006,99.2813452,6.034778163
065r,4/6/1996,above25k,837.2037932,844.3000797,624.2815838,33.48815173
065r,4/26/1997,above25k,418.0223144,429.4870965,250.0055582,16.72089257
065r,8/30/1997,above25k,371.0387043,385.3871235,210.0613602,14.84154817
065r,11/12/1997,above25k,288.0482372,299.2350512,145.8696661,11.52192949
065r,4/21/1998,above25k,231.0395678,241.4954702,126.1460357,9.241582714
065r,5/10/1999,above25k,186.1025751,196.0544877,105.8506333,7.444103004
065r,3/25/2000,above25k,120.1493273,133.4793619,84.03076838,4.805973093
065r,6/10/2000,above25k,108.6881246,118.9696697,67.44052452,4.347524986
065r,8/23/2000,above25k,95.85928399,104.2162812,64.16119051,3.834371359
065r,9/15/2000,above25k,113.6422669,123.3619934,67.30311805,4.545690677
065r,10/10/2001,above25k,99.45311367,108.2140065,62.43474263,3.978124547
065r,5/8/2002,above25k,94.08142221,101.5669991,61.72247491,3.763256888
065r,9/27/2002,above25k,35.91168105,51.39941808,24.9321114,1.436467242
065r,5/2/2003,above25k,5.936280622,9.798844358,2.963476434,0.237451225
065r,9/27/2003,above25k,5.038765663,8.507074904,2.29770514,0.201550627
065r,6/7/2004,above25k,6.367375537,10.05588458,3.439558606,0.254695021
065r,11/20/2004,above25k,0.652170175,0.800105001,6.85355E-06,0.026086807
065r,12/9/2004,above25k,630.8151172,634.2237513,267.3497418,25.23260469
065r,5/13/2005,above25k,186.2965573,190.5939952,80.31002455,7.451862291
065r,10/13/2006,above25k,29.59423814,30.83673737,5.790056347,1.183769525
065r,10/19/2007,above25k,24.96618296,26.0767798,5.43279856,0.998647319
065r,2/9/2008,above25k,26.12639885,27.19377589,5.557884547,1.045055954
065r,4/3/2008,above25k,2625.255661,2638.997898,1857.746776,105.0102264
065r,5/24/2008,above25k,1967.964603,1992.686633,1545.284513,78.71858413
065r,10/17/2008,above25k,652.5952706,670.2059647,359.4601407,26.10381082
065r,10/16/2009,above25k,163.5696515,166.7771127,89.30065402,6.542786061
065r,10/11/2011,above25k,26.87853327,31.38124084,17.41370535,1.075141331
065r,10/9/2012,above25k,25.19690105,29.16826218,16.20025663,1.007876042
065r,9/27/2013,above25k,392.7030816,396.55514,105.9718402,15.70812326
065r,9/30/2014,above25k,412.6947904,424.4802877,257.5856179,16.50779161
065r,9/29/2015,above25k,219.9665712,234.6776961,163.7990462,8.798662848
