Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
202r,10/2/1990,above25k,889.9081938,895.9838077,290.3511169,35.59632775
202r,7/29/1991,above25k,999.4831328,1008.928933,406.6880825,39.97932531
202r,11/1/1992,above25k,972.7671756,982.6826024,434.6725049,38.91068702
202r,4/13/1993,above25k,1107.51983,1116.583194,451.6481265,44.3007932
202r,10/24/1993,above25k,871.5152815,883.728416,393.9934061,34.86061126
202r,4/23/1994,above25k,810.9909204,823.4281917,378.1188165,32.43963682
202r,12/2/1994,above25k,673.9862843,688.1990873,277.6957891,26.95945137
202r,5/9/1995,above25k,647.0141397,662.4368218,266.6938268,25.88056559
202r,3/1/1996,above25k,614.9390155,632.4903872,238.3875664,24.59756062
202r,5/5/1996,above25k,695.4647724,714.1330969,349.3751687,27.8185909
202r,9/27/1996,above25k,598.4367151,617.8259781,228.9767947,23.93746861
202r,2/28/1997,above25k,517.0648507,538.4428764,168.9446805,20.68259403
202r,5/6/1997,above25k,516.8262957,541.1072383,165.6870527,20.67305183
202r,9/6/1997,above25k,508.0831862,533.8661851,134.7521387,20.32332745
202r,11/20/1997,above25k,589.8915862,608.7933532,135.8571613,23.59566345
202r,4/28/1998,above25k,599.7312805,617.4640985,136.4153374,23.98925122
202r,5/20/1999,above25k,682.6751371,699.7985431,133.4345436,27.30700548
202r,4/3/2000,above25k,743.7937525,759.1980352,144.7358436,29.7517501
202r,6/18/2000,above25k,782.8401332,793.8067193,155.245778,31.31360533
202r,10/17/2001,above25k,790.0949669,800.867903,204.814447,31.60379868
202r,10/6/2002,above25k,691.5484993,702.8598308,226.2220693,27.66193997
202r,5/10/2003,above25k,672.9175142,683.0818558,227.912465,26.91670057
202r,10/4/2003,above25k,602.6501156,614.8313092,200.3944656,24.10600462
202r,5/21/2005,above25k,1089.92138,1098.410349,378.1388812,43.59685521
202r,10/21/2006,above25k,990.6897923,1000.839316,413.1436273,39.62759169
202r,10/27/2007,above25k,979.0269911,989.6038437,442.7905096,39.16107964
202r,2/16/2008,above25k,1009.692544,1021.080804,482.23374,40.38770175
202r,4/11/2008,above25k,1449.003603,1459.49432,884.7295798,57.9601441
202r,6/1/2008,above25k,1304.425216,1328.57646,942.7440631,52.17700864
202r,10/25/2008,above25k,1127.293779,1159.106934,830.4560931,45.09175116
202r,10/24/2009,above25k,1055.5639,1089.810381,828.4300311,42.22255602
202r,10/19/2011,above25k,873.2475355,911.5809018,687.7644516,34.92990142
202r,10/18/2012,above25k,845.1377393,884.1055753,676.8984721,33.80550957
202r,10/6/2013,above25k,1006.421366,1027.343865,778.0851552,40.25685465
202r,10/8/2014,above25k,1377.137287,1413.07647,1130.872164,55.08549147
202r,10/7/2015,above25k,1286.294724,1318.177963,1165.150965,51.45178896
