Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
202r,11/1/1992,minto8K(416.4),7084.199,7343.933,7258.541,1771.05
202r,4/13/1993,minto8K(416.3),7084.196,7301.757,5308.74,1275.155
202r,10/24/1993,minto8K(417.1),5320.571,5468.091,9960.436,957.7028
202r,12/2/1994,minto8K(416.4),6741.063,6984.877,6043.104,1213.391
202r,5/9/1995,minto8K(416.5),7069.917,7415.025,6195.462,1272.585
202r,3/1/1996,minto8K(416.7),7076.643,7337.217,8604.563,1273.796
202r,5/5/1996,minto8K(418.6),7084.197,7319.193,9478.907,1275.155
202r,9/27/1996,minto8K(416.1),7084.194,7355.853,8209.657,1275.155
202r,2/28/1997,minto8K(415.9),7084.195,7528.122,7698.572,1275.155
202r,5/6/1997,minto8K(417.1),7084.195,7318.776,7794.079,1275.155
202r,9/6/1997,minto8K(417.0),7084.195,7386.293,7226.398,1275.155
202r,4/28/1998,minto8K(416.9),7084.194,7362.312,7042.087,1275.155
202r,5/20/1999,minto8K(416.4),7042.304,7383.069,4135.112,1267.615
202r,4/3/2000,minto8K(416.1),7084.194,7319.865,3262.89,1275.155
202r,2/16/2008,minto8K(416.0),7029.222,7463.102,5804.591,773.2145
202r,4/11/2008,minto8K(415.8),7022.642,7453.231,6439.62,772.4906
