Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
202r,10/2/1990,8kto25k,1668.819,1687.84,2020.526,66.75278
202r,7/29/1991,8kto25k,1867.86,1886.864,2296.422,74.7144
202r,11/1/1992,8kto25k,1611.019,1628.39,1696.791,64.44076
202r,4/13/1993,8kto25k,1231.791,1283.339,1736.667,49.27166
202r,10/24/1993,8kto25k,1320.019,1345.045,1111.505,52.80077
202r,4/23/1994,8kto25k,1339.011,1366.246,910.5949,53.56045
202r,12/2/1994,8kto25k,1485.598,1507.146,823.3286,59.42394
202r,5/9/1995,8kto25k,1830.098,1849.829,964.5459,73.20391
202r,3/1/1996,8kto25k,1616.3,1637.581,941.6667,64.65199
202r,5/5/1996,8kto25k,1419.177,1460.123,432.2035,56.7671
202r,9/27/1996,8kto25k,1985.281,2015.376,377.4236,79.41123
202r,2/28/1997,8kto25k,1757.219,1783.835,613.5927,70.28878
202r,5/6/1997,8kto25k,2809.479,2840.052,1821.589,112.3792
202r,9/6/1997,8kto25k,2359.419,2381.483,1377.008,94.37678
202r,11/20/1997,8kto25k,2164.532,2184.757,2300.675,86.58127
202r,4/28/1998,8kto25k,2861.03,2880.93,2122.758,114.4412
202r,5/20/1999,8kto25k,1914.349,1931.029,1494.293,76.57397
202r,4/3/2000,8kto25k,1828.622,1846.786,1622.559,73.14489
202r,6/18/2000,8kto25k,1679.068,1700.625,1488.408,67.16273
202r,10/17/2001,8kto25k,1720.363,1736.644,1478.279,68.81453
202r,10/6/2002,8kto25k,1464.601,1489.383,1120.721,58.58405
202r,5/10/2003,8kto25k,1568.947,1590.459,1063.348,62.7579
202r,10/4/2003,8kto25k,1699.048,1716.555,1115.742,67.9619
202r,5/21/2005,8kto25k,1522.282,1543.54,2100.012,60.89126
202r,10/21/2006,8kto25k,1469.68,1491.976,1619.572,58.7872
202r,10/27/2007,8kto25k,1495.952,1517.722,1663.844,59.83809
202r,2/16/2008,8kto25k,1554.666,1576.947,1649.264,62.18662
202r,4/11/2008,8kto25k,880.5159,933.643,2110.87,35.22064
202r,6/1/2008,8kto25k,974.3928,1022.445,1590.689,38.97571
202r,10/25/2008,8kto25k,917.4705,965.7115,1174.232,36.69882
202r,10/24/2009,8kto25k,1191.577,1233.61,1258.712,47.66308
202r,10/19/2011,8kto25k,1363.834,1393.477,1208.411,54.55338
202r,10/18/2012,8kto25k,1269.278,1299.237,868.0699,50.77113
202r,10/6/2013,8kto25k,1590.695,1613.311,1567.682,63.62779
202r,10/8/2014,8kto25k,1032.912,1067.649,1962.51,41.31649
202r,10/7/2015,8kto25k,1190.744,1230.631,1618.168,47.62975
202r,10/15/2016,8kto25k,1196.07,1237.938,1486.755,47.84282
