Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
202r,10/2/1990,above25k,889.9082,895.9838,290.3511,35.59633
202r,7/29/1991,above25k,999.4831,1008.929,406.6881,39.97933
202r,11/1/1992,above25k,972.7672,982.6826,434.6725,38.91069
202r,4/13/1993,above25k,1107.52,1116.583,451.6481,44.30079
202r,10/24/1993,above25k,871.5153,883.7284,393.9934,34.86061
202r,4/23/1994,above25k,810.9909,823.4282,378.1188,32.43964
202r,12/2/1994,above25k,673.9863,688.1991,277.6958,26.95945
202r,5/9/1995,above25k,647.0141,662.4368,266.6938,25.88057
202r,3/1/1996,above25k,614.939,632.4904,238.3876,24.59756
202r,5/5/1996,above25k,695.4648,714.1331,349.3752,27.81859
202r,9/27/1996,above25k,598.4367,617.826,228.9768,23.93747
202r,2/28/1997,above25k,517.0649,538.4429,168.9447,20.68259
202r,5/6/1997,above25k,516.8263,541.1072,165.6871,20.67305
202r,9/6/1997,above25k,508.0832,533.8662,134.7521,20.32333
202r,11/20/1997,above25k,589.8916,608.7934,135.8572,23.59566
202r,4/28/1998,above25k,599.7313,617.4641,136.4153,23.98925
202r,5/20/1999,above25k,682.6751,699.7985,133.4345,27.30701
202r,4/3/2000,above25k,743.7938,759.198,144.7358,29.75175
202r,6/18/2000,above25k,782.8401,793.8067,155.2458,31.31361
202r,10/17/2001,above25k,790.095,800.8679,204.8144,31.6038
202r,10/6/2002,above25k,691.5485,702.8598,226.2221,27.66194
202r,5/10/2003,above25k,672.9175,683.0819,227.9125,26.9167
202r,10/4/2003,above25k,602.6501,614.8313,200.3945,24.106
202r,5/21/2005,above25k,1089.921,1098.41,378.1389,43.59686
202r,10/21/2006,above25k,990.6898,1000.839,413.1436,39.62759
202r,10/27/2007,above25k,979.027,989.6038,442.7905,39.16108
202r,2/16/2008,above25k,1009.693,1021.081,482.2337,40.3877
202r,4/11/2008,above25k,1449.004,1459.494,884.7296,57.96014
202r,6/1/2008,above25k,1304.425,1328.576,942.7441,52.17701
202r,10/25/2008,above25k,1127.294,1159.107,830.4561,45.09175
202r,10/24/2009,above25k,1055.564,1089.81,828.43,42.22256
202r,10/19/2011,above25k,873.2475,911.5809,687.7645,34.9299
202r,10/18/2012,above25k,845.1377,884.1056,676.8985,33.80551
202r,10/6/2013,above25k,1006.421,1027.344,778.0852,40.25685
202r,10/8/2014,above25k,1377.137,1413.076,1130.872,55.08549
202r,10/7/2015,above25k,1286.295,1318.178,1165.151,51.45179
