Site,Date,Plane_Height,Area_2D,Area_3D,Volume,Errors
202r,11/1/1992,minto8K(423.8),11352.51,11636.99,16122.08,2838.128
202r,4/13/1993,minto8K(424.3),11521.51,11824.21,14560.28,2073.872
202r,10/24/1993,minto8K(424.1),11100.97,11348.91,6592.497,1998.175
202r,12/2/1994,minto8K(423.8),11683.12,12005.7,9626.857,2102.962
202r,5/9/1995,minto8K(423.9),11442.9,11843.02,20333.23,2059.722
202r,3/1/1996,minto8K(423.7),11504.69,11830.66,15254.03,2070.844
202r,5/5/1996,minto8K(423.9),11879.76,12356,23927.61,2138.356
202r,9/27/1996,minto8K(423.5),12005.08,12400.2,31778.7,2160.915
202r,2/28/1997,minto8K(424.0),11882.49,12238.01,16336.08,2138.848
202r,5/6/1997,minto8K(423.9),11474.03,11826.78,30164.01,2065.325
202r,9/6/1997,minto8K(423.7),11403.92,11733.86,22184.68,2052.705
202r,4/28/1998,minto8K(423.2),11119.41,11517.87,25471.42,2001.495
202r,5/20/1999,minto8K(424.1),11351.77,11724.11,14350.61,2043.319
202r,4/3/2000,minto8K(423.6),11324.14,11772.94,19626.92,2038.345
202r,2/16/2008,minto8K(424.0),10993.08,11442.73,15235.76,1209.239
202r,4/11/2008,minto8K(424.6),11543.01,11905.64,19164.89,1269.731
