Date:Area.High:Volume.High:Area.Fluc:Volume.Fluc
1990-09-28:1,024:552  ±  41:1,270:733  ±  51
1991-07-26:1,038:537  ±  42:1,177:690  ±  47
1991-11-22:1,052:531  ±  42:1,045:678  ±  42
1992-10-15:916:399  ±  37:1,318:684  ±  53
1993-04-01:895:442  ±  36:1,562:799  ±  62
1993-10-08:783:282  ±  31:1,377:860  ±  55
1994-04-07:938:460  ±  38:1,382:836  ±  55
1994-11-21:886:366  ±  35:873:416  ±  35
1995-04-25:932:417  ±  37:880:375  ±  35
1996-02-12:865:368  ±  35:1,102:366  ±  44
1996-04-16:1,158:454  ±  46:1,081:1026  ±  43
1996-09-14:1,078:410  ±  43:944:627  ±  38
1997-02-14:1,009:356  ±  40:931:469  ±  37
1997-04-20:871:333  ±  35:1,161:395  ±  46
1997-08-25:840:331  ±  34:1,166:398  ±  47
1997-11-07:447:136  ±  18:1,228:563  ±  49
1998-04-15:785:303  ±  31:1,277:444  ±  51
1999-05-06:787:271  ±  31:1,341:532  ±  54
2000-03-18:780:253  ±  31:1,281:532  ±  51
2000-06-04:805:266  ±  32:1,355:568  ±  54
2000-08-21:772:240  ±  31:1,078:432  ±  43
2000-09-10:468:136  ±  19:1,154:462  ±  46
2001-10-05:742:214  ±  30:1,240:399  ±  50
2002-09-20:733:187  ±  29:1,226:315  ±  49
2003-04-25:712:150  ±  28:1,148:247  ±  46
2003-09-20:706:166  ±  28:1,191:282  ±  48
2004-12-30:886:203  ±  35:937:492  ±  37
2005-05-07:834:156  ±  33:1,185:439  ±  47
2006-10-07:819:180  ±  33:861:223  ±  34
2007-10-13:773:137  ±  31:1,086:277  ±  43
2008-02-02:736:117  ±  29:1,280:209  ±  51
2008-03-28:834:136  ±  33:1,503:784  ±  60
2008-10-11:790:100  ±  32:1,347:499  ±  54
2009-10-10:734:94  ±  29:1,180:376  ±  47
2011-10-05:725:82  ±  29:1,380:441  ±  55
2012-10-03:694:69  ±  28:1,206:246  ±  48
2013-09-21:773:75  ±  31:1,227:394  ±  49
2014-09-24:838:67  ±  34:1,190:513  ±  48
2015-09-23:1,002:83  ±  40:737:268  ±  29
2016-10-01:944:66  ±  38:1,315:315  ±  53
