Date:Volume.x:Volume.y:Total_Site_Vol
1993-10-09:13,328 ± 1,663:7,868 ± 600:21,196 ± 2,263
1994-11-21:12,284 ± 1,590:8,732 ± 600:21,016 ± 2,190
1995-04-26:16,057 ± 1,582:8,908 ± 600:24,965 ± 2,182
1996-02-16:24,495 ± 1,567:9,423 ± 584:33,919 ± 2,151
1996-04-18:12,566 ± 1,620:973 ± 600:13,538 ± 2,220
1996-09-15:15,526 ± 1,630:3,702 ± 600:19,228 ± 2,230
1997-02-15:13,678 ± 1,615:3,635 ± 600:17,313 ± 2,215
1997-04-22:19,259 ± 1,530:6,130 ± 600:25,388 ± 2,130
1997-08-26:18,385 ± 1,496:5,631 ± 600:24,015 ± 2,096
1998-04-16:22,170 ± 1,597:6,976 ± 600:29,146 ± 2,197
1999-05-07:20,178 ± 1,731:8,218 ± 600:28,396 ± 2,331
2000-03-20:16,150 ± 1,731:6,815 ± 600:22,965 ± 2,331
2000-06-06:17,420 ± 1,699:5,830 ± 600:23,250 ± 2,299
2000-08-22:17,528 ± 1,684:5,383 ± 600:22,911 ± 2,284
2000-09-11:19,654 ± 1,012:3,675 ± 367:23,329 ± 1,379
2002-05-02:15,039 ± 1,088:9,304 ± 367:24,343 ± 1,455
2004-06-02:14,102 ± 1,093:7,276 ± 367:21,378 ± 1,460
2004-11-16:17,382 ± 1,089:8,186 ± 367:25,568 ± 1,456
2004-12-05:21,482 ± 986:4,129 ± 367:25,611 ± 1,352
2008-02-05:24,315 ± 1,046:11,044 ± 367:35,359 ± 1,413
2008-03-30:13,530 ± 1,054:6,480 ± 367:20,011 ± 1,421
