"Date":"Area.High":"Volume.High":"Area.Fluc":"Volume.Fluc":"Area.Low":"Volume.Low"
2002-09-23:"2,125":"250  ±  85":"9,870":"1,059 ± 395":"NA":"NA ± NA"
2003-04-28:"2,178":"346  ±  87":"9,756":"2,728 ± 390":"NA":"NA ± NA"
2003-09-23:"2,100":"299  ±  84":"9,523":"2,161 ± 381":"NA":"NA ± NA"
2005-01-01:"3,841":"897  ±  154":"10,239":"9,818 ± 410":"NA":"NA ± NA"
2005-05-10:"3,604":"868  ±  144":"9,841":"7,671 ± 394":"NA":"NA ± NA"
2006-10-10:"3,595":"1238  ±  144":"10,217":"7,283 ± 409":"NA":"NA ± NA"
2007-10-16:"3,583":"1113  ±  143":"10,660":"7,650 ± 426":"NA":"NA ± NA"
2008-02-05:"3,535":"1116  ±  141":"12,279":"8,226 ± 491":"24,486":"27,559 ± 2,693"
2008-03-31:"5,683":"2410  ±  227":"10,181":"14,525 ± 407":"24,413":"21,634 ± 2,685"
2008-05-19:"3,432":"2032  ±  137":"7,164":"11,782 ± 287":"NA":"NA ± NA"
2008-10-14:"5,374":"2904  ±  215":"8,697":"11,395 ± 348":"NA":"NA ± NA"
2009-10-13:"5,036":"3217  ±  201":"8,634":"9,850 ± 345":"NA":"NA ± NA"
2011-10-08:"4,508":"2706  ±  180":"6,489":"8,091 ± 260":"NA":"NA ± NA"
2012-10-06:"4,695":"2785  ±  188":"9,134":"8,790 ± 365":"NA":"NA ± NA"
2013-09-24:"5,238":"3098  ±  210":"11,522":"11,237 ± 461":"NA":"NA ± NA"
2014-09-27:"6,126":"3876  ±  245":"11,188":"12,963 ± 448":"NA":"NA ± NA"
2015-09-26:"6,305":"4069  ±  252":"11,234":"13,531 ± 449":"NA":"NA ± NA"
2016-10-04:"6,311":"4157  ±  252":"11,225":"14,388 ± 449":"NA":"NA ± NA"
