Date:Volume.x:Volume.y:Total_Site_Vol
1993-10-15:2,113 ± 233:2,693 ± 641:4,806 ± 874
1994-04-15:2,212 ± 310:2,424 ± 971:4,636 ± 1,280
1994-11-26:1,898 ± 283:2,188 ± 906:4,087 ± 1,189
1995-05-01:2,097 ± 308:3,694 ± 976:5,791 ± 1,284
1996-02-24:1,994 ± 310:2,811 ± 961:4,806 ± 1,271
1996-04-26:3,489 ± 289:2,079 ± 972:5,568 ± 1,261
1996-09-21:2,760 ± 305:2,782 ± 977:5,541 ± 1,282
1997-02-19:2,928 ± 292:1,887 ± 974:4,814 ± 1,267
1997-04-29:3,308 ± 286:4,197 ± 955:7,505 ± 1,241
1997-08-31:2,750 ± 292:1,836 ± 981:4,585 ± 1,272
1998-04-22:2,490 ± 297:5,250 ± 974:7,740 ± 1,271
1999-05-12:2,004 ± 308:3,322 ± 977:5,326 ± 1,285
2000-03-27:1,820 ± 324:3,384 ± 982:5,204 ± 1,305
2000-06-13:1,836 ± 189:3,690 ± 881:5,526 ± 1,070
2000-08-28:1,686 ± 176:3,552 ± 870:5,239 ± 1,045
2000-09-17:2,318 ± 162:4,019 ± 515:6,337 ± 677
