Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-23:857 ± 133:2,548 ± 2,129:3,406 ± 2,262
1993-10-15:955 ± 101:9,718 ± 1,533:10,673 ± 1,634
1994-04-15:806 ± 101:3,084 ± 1,359:3,890 ± 1,460
1994-11-26:769 ± 107:5,835 ± 1,509:6,604 ± 1,616
1995-05-01:1,193 ± 90:7,915 ± 1,377:9,107 ± 1,466
1996-02-24:735 ± 109:8,075 ± 1,493:8,810 ± 1,602
1996-04-25:750 ± 233:5,750 ± 1,535:6,500 ± 1,768
1996-09-21:610 ± 115:3,483 ± 1,535:4,093 ± 1,650
1997-02-19:672 ± 114:3,239 ± 1,535:3,911 ± 1,649
1997-04-29:571 ± 120:4,471 ± 1,535:5,042 ± 1,654
1997-08-31:394 ± 123:1,573 ± 1,534:1,966 ± 1,657
1998-04-22:626 ± 116:4,499 ± 1,535:5,124 ± 1,651
1999-05-13:644 ± 115:2,905 ± 1,535:3,549 ± 1,649
2000-03-27:710 ± 112:3,547 ± 1,535:4,257 ± 1,647
2008-02-11:1,190 ± 72:7,574 ± 932:8,763 ± 1,004
2008-04-06:780 ± 81:9,645 ± 933:10,426 ± 1,014
