Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-24:5,550 ± 872:3,468 ± 1,265:9,017 ± 2,136
1993-04-08:3,084 ± 509::NA ± NA
1993-10-16:3,454 ± 651:3,548 ± 839:7,002 ± 1,490
1994-04-16:4,762 ± 597:2,155 ± 952:6,918 ± 1,549
1994-11-27:6,742 ± 645:2,865 ± 943:9,607 ± 1,588
1995-05-02:5,418 ± 639:4,369 ± 972:9,787 ± 1,611
1996-02-25:4,084 ± 664:4,202 ± 969:8,285 ± 1,633
1996-04-26:9,274 ± 622:5,306 ± 956:14,580 ± 1,578
1996-09-22:8,833 ± 664:3,031 ± 972:11,864 ± 1,637
1997-02-21:3,084 ± 657:3,399 ± 963:6,482 ± 1,620
1997-04-30:6,364 ± 648:4,861 ± 972:11,225 ± 1,621
1997-09-01:6,690 ± 596:4,476 ± 968:11,167 ± 1,564
1998-04-23:4,734 ± 656:4,836 ± 972:9,571 ± 1,629
1999-05-13:4,486 ± 648:2,942 ± 972:7,428 ± 1,621
2000-03-28:3,660 ± 669:969 ± 972:4,629 ± 1,641
2000-06-12:6,274 ± 639:2,696 ± 962:8,970 ± 1,601
