Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-24:4,908 ± 493:5,375 ± 2,500:10,282 ± 2,993
1993-10-16:4,957 ± 378:11,663 ± 1,627:16,620 ± 2,005
1994-04-16:5,265 ± 348:10,759 ± 1,749:16,024 ± 2,097
1994-11-27:4,382 ± 386:11,579 ± 1,794:15,961 ± 2,180
1995-05-02:5,749 ± 339:12,870 ± 1,796:18,619 ± 2,135
1996-02-25:2,967 ± 433:12,883 ± 1,799:15,850 ± 2,232
1996-04-26:2,859 ± 440:10,313 ± 1,799:13,171 ± 2,238
1996-09-22:3,115 ± 420::NA ± NA
1997-02-21:3,758 ± 394:4,259 ± 1,756:8,017 ± 2,150
1997-04-30:2,832 ± 434:5,884 ± 1,800:8,716 ± 2,234
1997-09-01:1,991 ± 464:5,068 ± 1,800:7,058 ± 2,264
2008-02-12:7,108 ± 234:8,448 ± 1,100:15,556 ± 1,334
2008-04-07:7,049 ± 248:10,355 ± 1,100:17,404 ± 1,348
