Date:Volume.x:Volume.y:Total_Site_Vol
1992-10-30:12,072 ± 1,665:9,002 ± 3,376:21,074 ± 5,041
1993-04-12:7,272 ± 760:4,204 ± 1,494:11,476 ± 2,254
1993-10-23:9,826 ± 1,300:11,014 ± 2,429:20,840 ± 3,729
1994-04-21:10,793 ± 1,198:6,341 ± 2,401:17,134 ± 3,599
1994-12-01:12,264 ± 1,203:7,906 ± 2,383:20,171 ± 3,586
1995-05-07:12,840 ± 1,139:6,677 ± 2,429:19,517 ± 3,568
1996-02-29:11,789 ± 1,234:6,306 ± 2,391:18,095 ± 3,625
1996-05-01:15,740 ± 1,032:9,158 ± 2,347:24,898 ± 3,379
1996-09-26:15,470 ± 1,032:4,701 ± 2,370:20,171 ± 3,402
1997-02-25:5,712 ± 1,332:2,362 ± 2,431:8,075 ± 3,763
1997-05-04:16,200 ± 1,010:10,438 ± 2,443:26,638 ± 3,453
1997-09-04:17,384 ± 1,085:18,230 ± 2,443:35,613 ± 3,528
1998-04-26:10,864 ± 1,239:12,149 ± 2,442:23,013 ± 3,681
1999-05-18:12,462 ± 1,112:7,599 ± 2,441:20,061 ± 3,553
2000-04-02:13,788 ± 1,091:7,475 ± 2,443:21,263 ± 3,534
2000-06-15:10,396 ± 1,349:12,417 ± 2,431:22,813 ± 3,780
2008-02-14:16,424 ± 728:10,945 ± 1,490:27,369 ± 2,218
2008-04-10:19,610 ± 733:10,935 ± 1,491:30,544 ± 2,224
