Date:Volume.x:Volume.y:Total_Site_Vol
1992-11-18:6,655 ± 1,935:8,438 ± 3,473:15,093 ± 5,408
1993-03-17:4,345 ± 1,241:6,766 ± 1,884:11,112 ± 3,125
1993-11-17:7,833 ± 1,444:12,325 ± 2,502:20,158 ± 3,946
1994-06-16:7,113 ± 1,455:9,407 ± 2,502:16,520 ± 3,957
1994-10-20:7,670 ± 1,441:10,856 ± 2,502:18,526 ± 3,943
1995-04-24:7,265 ± 1,440:8,668 ± 2,502:15,933 ± 3,942
1995-06-22:6,663 ± 1,446:10,009 ± 2,502:16,672 ± 3,948
1996-02-13:7,494 ± 1,439:6,314 ± 2,502:13,807 ± 3,941
1996-04-15:5,991 ± 1,372:7,946 ± 2,502:13,937 ± 3,874
1996-09-12:5,434 ± 1,377:5,581 ± 2,502:11,015 ± 3,879
1997-02-13:6,467 ± 1,414:4,064 ± 2,502:10,531 ± 3,916
1997-04-20:6,876 ± 1,401:12,886 ± 2,502:19,761 ± 3,903
1997-08-23:6,409 ± 1,459:10,004 ± 2,500:16,413 ± 3,959
1998-04-14:10,075 ± 1,381:12,926 ± 2,502:23,000 ± 3,883
2000-03-17:9,280 ± 1,470:9,062 ± 2,502:18,341 ± 3,972
2000-08-09:11,295 ± 1,292:7,945 ± 2,502:19,240 ± 3,794
2000-10-07:10,867 ± 1,363:8,682 ± 2,502:19,549 ± 3,865
